skeleton,n_ch,n_sh,top_section_ch,top_section_sh,semantic_guardrail
#eocphy,1,2,pharmaceutical(1),pharmaceutical(1),rota55_minpair_not_decipherment
#daly,2,1,recipes(2),pharmaceutical(1),rota55_minpair_not_decipherment
okee#y,1,2,recipes(1),recipes(2),rota55_minpair_not_decipherment
qok#eedy,2,1,recipes(2),recipes(1),rota55_minpair_not_decipherment
y#edaiin,2,1,recipes(2),recipes(1),rota55_minpair_not_decipherment
#eokedy,2,1,recipes(2),recipes(1),rota55_minpair_not_decipherment
l#daiin,2,1,recipes(2),recipes(1),rota55_minpair_not_decipherment
#eedain,2,1,recipes(2),recipes(1),rota55_minpair_not_decipherment
#cthaiin,1,1,herbal(1),herbal(1),rota55_minpair_not_decipherment
ok#,1,1,herbal(1),herbal(1),rota55_minpair_not_decipherment
y#ar,1,1,herbal(1),recipes(1),rota55_minpair_not_decipherment
#odam,1,1,herbal(1),pharmaceutical(1),rota55_minpair_not_decipherment
#oety,1,1,herbal(1),pharmaceutical(1),rota55_minpair_not_decipherment
ok#eo,1,1,astronomical(1),herbal(1),rota55_minpair_not_decipherment
oty#y,1,1,herbal(1),herbal(1),rota55_minpair_not_decipherment
#ok#or,1,1,pharmaceutical(1),herbal(1),rota55_minpair_not_decipherment
o#aiin,1,1,herbal(1),herbal(1),rota55_minpair_not_decipherment
f#ody,1,1,herbal(1),herbal(1),rota55_minpair_not_decipherment
#ockhol,1,1,herbal(1),recipes(1),rota55_minpair_not_decipherment
dol#eey,1,1,herbal(1),balneological(1),rota55_minpair_not_decipherment
#eeeb,1,1,herbal(1),cosmological(1),rota55_minpair_not_decipherment
l#od,1,1,recipes(1),herbal(1),rota55_minpair_not_decipherment
fy#ey,1,1,herbal(1),cosmological(1),rota55_minpair_not_decipherment
t#aiin,1,1,herbal(1),herbal(1),rota55_minpair_not_decipherment
qof#ey,1,1,balneological(1),herbal(1),rota55_minpair_not_decipherment
#ocfhey,1,1,herbal(1),herbal(1),rota55_minpair_not_decipherment
qok#,1,1,herbal(1),pharmaceutical(1),rota55_minpair_not_decipherment
o#dy,1,1,herbal(1),herbal(1),rota55_minpair_not_decipherment
#kear,1,1,herbal(1),recipes(1),rota55_minpair_not_decipherment
#ese,1,1,astronomical(1),herbal(1),rota55_minpair_not_decipherment
#ed#ey,1,1,balneological(1),herbal(1),rota55_minpair_not_decipherment
#eeoy,1,1,herbal(1),pharmaceutical(1),rota55_minpair_not_decipherment
#eokar,1,1,herbal(1),recipes(1),rota55_minpair_not_decipherment
dain#o,1,1,herbal(1),herbal(1),rota55_minpair_not_decipherment
s#okey,1,1,herbal(1),herbal(1),rota55_minpair_not_decipherment
#ekaly,1,1,herbal(1),herbal(1),rota55_minpair_not_decipherment
#orody,1,1,herbal(1),herbal(1),rota55_minpair_not_decipherment
to#ey,1,1,herbal(1),herbal(1),rota55_minpair_not_decipherment
#edey,1,1,recipes(1),herbal(1),rota55_minpair_not_decipherment
k#es,1,1,recipes(1),herbal(1),rota55_minpair_not_decipherment
#ef,1,1,herbal(1),herbal(1),rota55_minpair_not_decipherment
yp#oly,1,1,pharmaceutical(1),herbal(1),rota55_minpair_not_decipherment
#eek#y,1,1,herbal(1),recipes(1),rota55_minpair_not_decipherment
yk#eor,1,1,recipes(1),herbal(1),rota55_minpair_not_decipherment
#olk#y,1,1,recipes(1),herbal(1),rota55_minpair_not_decipherment
okal#dy,1,1,recipes(1),herbal(1),rota55_minpair_not_decipherment
d#oly,1,1,herbal(1),herbal(1),rota55_minpair_not_decipherment
p#eod#y,1,1,herbal(1),cosmological(1),rota55_minpair_not_decipherment
#e#y,1,1,recipes(1),herbal(1),rota55_minpair_not_decipherment
#octhody,1,1,herbal(1),pharmaceutical(1),rota55_minpair_not_decipherment
#teody,1,1,herbal(1),astronomical(1),rota55_minpair_not_decipherment
#olar,1,1,astronomical(1),herbal(1),rota55_minpair_not_decipherment
#olkeey,1,1,herbal(1),balneological(1),rota55_minpair_not_decipherment
