skeleton,n_ch,n_sh,top_section_ch,top_section_sh,semantic_guardrail
ok#ol,12,1,herbal(5),herbal(1),rota55_minpair_not_decipherment
ol#y,9,4,balneological(5),herbal(1),rota55_minpair_not_decipherment
#d,6,7,herbal(4),herbal(4),rota55_minpair_not_decipherment
d#dy,9,4,balneological(4),herbal(2),rota55_minpair_not_decipherment
#kal,12,1,recipes(8),astronomical(1),rota55_minpair_not_decipherment
qol#ey,11,2,balneological(10),balneological(2),rota55_minpair_not_decipherment
qol#edy,11,2,balneological(11),balneological(2),rota55_minpair_not_decipherment
l#y,9,3,balneological(7),herbal(2),rota55_minpair_not_decipherment
#eaiin,3,9,herbal(2),herbal(8),rota55_minpair_not_decipherment
s#ey,6,6,herbal(4),astronomical(2),rota55_minpair_not_decipherment
#otaiin,10,2,herbal(6),herbal(1),rota55_minpair_not_decipherment
y#ol,10,2,herbal(6),herbal(1),rota55_minpair_not_decipherment
y#eol,11,1,recipes(5),herbal(1),rota55_minpair_not_decipherment
p#edar,11,1,balneological(4),pharmaceutical(1),rota55_minpair_not_decipherment
#ekaiin,9,3,herbal(4),balneological(1),rota55_minpair_not_decipherment
#ekeey,6,6,pharmaceutical(3),herbal(2),rota55_minpair_not_decipherment
#ekey,7,5,herbal(4),herbal(3),rota55_minpair_not_decipherment
yt#edy,10,2,recipes(5),herbal(1),rota55_minpair_not_decipherment
#ekar,10,2,herbal(2),herbal(1),rota55_minpair_not_decipherment
s#edy,7,5,balneological(5),balneological(3),rota55_minpair_not_decipherment
#eockhy,10,2,pharmaceutical(3),herbal(1),rota55_minpair_not_decipherment
#eom,9,3,pharmaceutical(6),pharmaceutical(3),rota55_minpair_not_decipherment
y#eedy,7,5,recipes(5),recipes(3),rota55_minpair_not_decipherment
#ekain,8,3,recipes(4),recipes(3),rota55_minpair_not_decipherment
#oaiin,7,4,recipes(3),herbal(2),rota55_minpair_not_decipherment
y#eor,8,3,herbal(6),recipes(2),rota55_minpair_not_decipherment
qok#o,10,1,herbal(6),herbal(1),rota55_minpair_not_decipherment
d#o,4,7,herbal(2),herbal(6),rota55_minpair_not_decipherment
#cphy,10,1,recipes(5),herbal(1),rota55_minpair_not_decipherment
#otol,8,3,herbal(4),herbal(2),rota55_minpair_not_decipherment
#kar,9,2,recipes(5),recipes(2),rota55_minpair_not_decipherment
yp#edy,10,1,herbal(6),cosmological(1),rota55_minpair_not_decipherment
#cthey,6,5,recipes(3),balneological(2),rota55_minpair_not_decipherment
f#edy,9,2,recipes(4),balneological(1),rota55_minpair_not_decipherment
#dam,10,1,herbal(5),cosmological(1),rota55_minpair_not_decipherment
#eodal,7,4,pharmaceutical(3),pharmaceutical(2),rota55_minpair_not_decipherment
p#dy,10,1,herbal(4),balneological(1),rota55_minpair_not_decipherment
#okey,7,4,herbal(4),astronomical(2),rota55_minpair_not_decipherment
o#edy,9,2,recipes(3),balneological(1),rota55_minpair_not_decipherment
#okal,6,5,herbal(3),astronomical(2),rota55_minpair_not_decipherment
#eety,3,8,balneological(2),balneological(6),rota55_minpair_not_decipherment
p#ol,6,4,pharmaceutical(2),herbal(2),rota55_minpair_not_decipherment
#ok,5,5,herbal(4),herbal(2),rota55_minpair_not_decipherment
#ot#y,9,1,herbal(9),herbal(1),rota55_minpair_not_decipherment
t#ody,9,1,herbal(6),herbal(1),rota55_minpair_not_decipherment
k#eody,5,5,recipes(4),herbal(2),rota55_minpair_not_decipherment
#odal,7,3,recipes(3),herbal(2),rota55_minpair_not_decipherment
ol#eol,7,3,pharmaceutical(3),balneological(2),rota55_minpair_not_decipherment
#eeos,7,3,recipes(4),astronomical(2),rota55_minpair_not_decipherment
r#ey,8,2,balneological(7),balneological(1),rota55_minpair_not_decipherment
#dor,9,1,recipes(7),herbal(1),rota55_minpair_not_decipherment
al#ey,6,4,herbal(2),herbal(2),rota55_minpair_not_decipherment
p#eody,5,5,recipes(3),recipes(3),rota55_minpair_not_decipherment
#oteey,9,1,astronomical(6),astronomical(1),rota55_minpair_not_decipherment
#okar,7,3,recipes(4),recipes(2),rota55_minpair_not_decipherment
sol#edy,6,4,balneological(5),balneological(3),rota55_minpair_not_decipherment
lk#ey,8,2,recipes(7),recipes(2),rota55_minpair_not_decipherment
#odain,5,4,recipes(4),herbal(1),rota55_minpair_not_decipherment
#otey,8,1,astronomical(4),pharmaceutical(1),rota55_minpair_not_decipherment
#r,8,1,herbal(3),balneological(1),rota55_minpair_not_decipherment
#eokeey,6,3,recipes(3),astronomical(2),rota55_minpair_not_decipherment
#eoldy,6,3,herbal(2),herbal(2),rota55_minpair_not_decipherment
l#o,7,2,recipes(4),herbal(1),rota55_minpair_not_decipherment
#epy,8,1,cosmological(2),herbal(1),rota55_minpair_not_decipherment
l#ed,6,3,balneological(3),balneological(2),rota55_minpair_not_decipherment
dal#dy,5,4,recipes(2),balneological(2),rota55_minpair_not_decipherment
yk#edy,7,2,recipes(3),herbal(1),rota55_minpair_not_decipherment
y#eeo,8,1,recipes(4),recipes(1),rota55_minpair_not_decipherment
d#eedy,4,5,recipes(2),balneological(2),rota55_minpair_not_decipherment
l#eol,8,1,recipes(4),recipes(1),rota55_minpair_not_decipherment
y#o,4,4,herbal(4),herbal(3),rota55_minpair_not_decipherment
d#eo,6,2,herbal(2),recipes(2),rota55_minpair_not_decipherment
k#eol,6,2,herbal(4),balneological(1),rota55_minpair_not_decipherment
#eoy,3,5,herbal(1),herbal(2),rota55_minpair_not_decipherment
dal#edy,5,3,balneological(2),balneological(2),rota55_minpair_not_decipherment
oke#y,5,3,recipes(3),balneological(2),rota55_minpair_not_decipherment
#oar,5,3,herbal(3),herbal(1),rota55_minpair_not_decipherment
#cthdy,7,1,herbal(2),cosmological(1),rota55_minpair_not_decipherment
p#ey,7,1,balneological(4),herbal(1),rota55_minpair_not_decipherment
qok#d,5,3,recipes(4),herbal(1),rota55_minpair_not_decipherment
t#eody,6,2,herbal(2),herbal(2),rota55_minpair_not_decipherment
#ockhey,5,3,pharmaceutical(2),pharmaceutical(3),rota55_minpair_not_decipherment
#edam,6,2,recipes(6),balneological(1),rota55_minpair_not_decipherment
#tal,6,2,recipes(4),balneological(1),rota55_minpair_not_decipherment
#eed,3,5,recipes(3),recipes(4),rota55_minpair_not_decipherment
o#ol,6,1,herbal(3),herbal(1),rota55_minpair_not_decipherment
o#or,6,1,herbal(4),herbal(1),rota55_minpair_not_decipherment
#eam,5,2,recipes(3),herbal(1),rota55_minpair_not_decipherment
k#eo,2,5,recipes(2),herbal(5),rota55_minpair_not_decipherment
t#eey,6,1,herbal(4),recipes(1),rota55_minpair_not_decipherment
ot#o,5,2,herbal(4),herbal(1),rota55_minpair_not_decipherment
yk#ol,6,1,herbal(5),herbal(1),rota55_minpair_not_decipherment
p#odaiin,5,2,herbal(2),pharmaceutical(1),rota55_minpair_not_decipherment
#ep,5,2,recipes(3),herbal(1),rota55_minpair_not_decipherment
#etey,5,2,astronomical(2),astronomical(1),rota55_minpair_not_decipherment
#cthedy,6,1,herbal(2),balneological(1),rota55_minpair_not_decipherment
p#ody,6,1,herbal(3),cosmological(1),rota55_minpair_not_decipherment
#etar,6,1,recipes(3),balneological(1),rota55_minpair_not_decipherment
#eoty,5,2,recipes(3),herbal(1),rota55_minpair_not_decipherment
ok#d,6,1,recipes(3),cosmological(1),rota55_minpair_not_decipherment
#eocthy,4,3,recipes(2),pharmaceutical(2),rota55_minpair_not_decipherment
#aly,5,2,herbal(3),herbal(1),rota55_minpair_not_decipherment
#eoly,5,2,recipes(2),astronomical(1),rota55_minpair_not_decipherment
#eekey,6,1,herbal(2),balneological(1),rota55_minpair_not_decipherment
qokee#y,6,1,recipes(5),recipes(1),rota55_minpair_not_decipherment
#o#y,4,2,herbal(4),herbal(2),rota55_minpair_not_decipherment
op#ol,5,1,herbal(4),pharmaceutical(1),rota55_minpair_not_decipherment
k#ody,4,2,herbal(2),herbal(1),rota55_minpair_not_decipherment
#olor,4,2,recipes(2),herbal(1),rota55_minpair_not_decipherment
p#ar,5,1,herbal(3),balneological(1),rota55_minpair_not_decipherment
#ot,4,2,herbal(3),herbal(1),rota55_minpair_not_decipherment
d#eor,4,2,pharmaceutical(3),herbal(1),rota55_minpair_not_decipherment
#osaiin,2,4,pharmaceutical(1),herbal(3),rota55_minpair_not_decipherment
#ekedy,4,2,herbal(4),balneological(2),rota55_minpair_not_decipherment
p#dar,4,2,herbal(2),herbal(1),rota55_minpair_not_decipherment
of#dy,5,1,herbal(2),balneological(1),rota55_minpair_not_decipherment
#tol,4,2,herbal(2),balneological(2),rota55_minpair_not_decipherment
k#eey,4,2,herbal(2),herbal(1),rota55_minpair_not_decipherment
okol#y,3,3,herbal(2),astronomical(2),rota55_minpair_not_decipherment
l#or,4,2,balneological(2),recipes(2),rota55_minpair_not_decipherment
p#eor,5,1,recipes(4),herbal(1),rota55_minpair_not_decipherment
#eokey,3,3,recipes(2),herbal(1),rota55_minpair_not_decipherment
oke#edy,5,1,recipes(4),recipes(1),rota55_minpair_not_decipherment
#edol,5,1,balneological(3),balneological(1),rota55_minpair_not_decipherment
#eedar,5,1,recipes(4),recipes(1),rota55_minpair_not_decipherment
#olkeedy,4,2,recipes(3),recipes(2),rota55_minpair_not_decipherment
#ot#ey,4,1,herbal(4),pharmaceutical(1),rota55_minpair_not_decipherment
#olaiin,4,1,herbal(2),herbal(1),rota55_minpair_not_decipherment
#ckhol,4,1,herbal(3),herbal(1),rota55_minpair_not_decipherment
#oldaiin,3,2,herbal(2),herbal(1),rota55_minpair_not_decipherment
#eain,2,3,herbal(2),recipes(2),rota55_minpair_not_decipherment
k#aiin,4,1,herbal(4),herbal(1),rota55_minpair_not_decipherment
dal#y,4,1,herbal(2),recipes(1),rota55_minpair_not_decipherment
#t#y,4,1,herbal(2),herbal(1),rota55_minpair_not_decipherment
#k#y,4,1,herbal(4),herbal(1),rota55_minpair_not_decipherment
yk#o,4,1,herbal(3),cosmological(1),rota55_minpair_not_decipherment
t#ar,4,1,recipes(2),recipes(1),rota55_minpair_not_decipherment
#octhey,4,1,pharmaceutical(2),cosmological(1),rota55_minpair_not_decipherment
#okol,4,1,pharmaceutical(2),pharmaceutical(1),rota55_minpair_not_decipherment
l#eody,2,3,cosmological(1),herbal(2),rota55_minpair_not_decipherment
#ekol,4,1,herbal(1),herbal(1),rota55_minpair_not_decipherment
#eols,3,2,pharmaceutical(2),herbal(2),rota55_minpair_not_decipherment
#eet,1,4,herbal(1),herbal(2),rota55_minpair_not_decipherment
al#edy,4,1,balneological(2),herbal(1),rota55_minpair_not_decipherment
#eeal,3,2,herbal(1),balneological(1),rota55_minpair_not_decipherment
#eodar,4,1,recipes(2),recipes(1),rota55_minpair_not_decipherment
#odol,2,3,herbal(1),pharmaceutical(2),rota55_minpair_not_decipherment
p#eodar,4,1,cosmological(2),recipes(1),rota55_minpair_not_decipherment
#aram,2,3,recipes(2),herbal(1),rota55_minpair_not_decipherment
#eockhey,2,3,herbal(1),pharmaceutical(2),rota55_minpair_not_decipherment
oke#dy,4,1,recipes(2),balneological(1),rota55_minpair_not_decipherment
o#eey,3,2,recipes(2),astronomical(1),rota55_minpair_not_decipherment
ote#y,4,1,recipes(2),recipes(1),rota55_minpair_not_decipherment
#eeteey,4,1,recipes(2),astronomical(1),rota55_minpair_not_decipherment
ot#eody,4,1,astronomical(3),recipes(1),rota55_minpair_not_decipherment
#sdy,3,2,balneological(2),astronomical(1),rota55_minpair_not_decipherment
ol#ed,3,2,recipes(2),balneological(2),rota55_minpair_not_decipherment
sol#ey,3,2,balneological(3),balneological(2),rota55_minpair_not_decipherment
l#eckhy,3,2,balneological(3),balneological(2),rota55_minpair_not_decipherment
olk#dy,4,1,cosmological(2),balneological(1),rota55_minpair_not_decipherment
olp#edy,4,1,balneological(2),recipes(1),rota55_minpair_not_decipherment
qoke#edy,4,1,balneological(2),recipes(1),rota55_minpair_not_decipherment
olk#edy,4,1,recipes(4),balneological(1),rota55_minpair_not_decipherment
#eokaiin,3,2,recipes(2),cosmological(1),rota55_minpair_not_decipherment
p#edaiin,4,1,recipes(2),recipes(1),rota55_minpair_not_decipherment
#taiin,3,1,herbal(2),herbal(1),rota55_minpair_not_decipherment
#a,2,2,herbal(2),herbal(1),rota55_minpair_not_decipherment
s#or,3,1,herbal(3),herbal(1),rota55_minpair_not_decipherment
y#ear,3,1,herbal(2),recipes(1),rota55_minpair_not_decipherment
#oteol,3,1,herbal(2),recipes(1),rota55_minpair_not_decipherment
y#os,3,1,herbal(2),herbal(1),rota55_minpair_not_decipherment
l#ol,3,1,herbal(1),herbal(1),rota55_minpair_not_decipherment
#oor,3,1,herbal(2),recipes(1),rota55_minpair_not_decipherment
p#eey,3,1,herbal(2),herbal(1),rota55_minpair_not_decipherment
#ealy,3,1,balneological(2),herbal(1),rota55_minpair_not_decipherment
y#y,3,1,herbal(3),herbal(1),rota55_minpair_not_decipherment
ok#al,3,1,herbal(3),herbal(1),rota55_minpair_not_decipherment
d#al,3,1,herbal(2),herbal(1),rota55_minpair_not_decipherment
#tar,3,1,recipes(2),recipes(1),rota55_minpair_not_decipherment
#eear,1,3,recipes(1),herbal(2),rota55_minpair_not_decipherment
#kol,3,1,herbal(2),balneological(1),rota55_minpair_not_decipherment
#so,3,1,pharmaceutical(2),herbal(1),rota55_minpair_not_decipherment
ol#eor,3,1,pharmaceutical(2),herbal(1),rota55_minpair_not_decipherment
#et,1,3,herbal(1),recipes(2),rota55_minpair_not_decipherment
p#daiin,3,1,herbal(1),herbal(1),rota55_minpair_not_decipherment
#olkal,3,1,herbal(1),balneological(1),rota55_minpair_not_decipherment
#ekody,3,1,astronomical(2),herbal(1),rota55_minpair_not_decipherment
ot#eey,3,1,recipes(2),pharmaceutical(1),rota55_minpair_not_decipherment
l#ar,3,1,herbal(1),cosmological(1),rota55_minpair_not_decipherment
t#edar,2,2,herbal(1),herbal(1),rota55_minpair_not_decipherment
t#od,2,2,herbal(2),pharmaceutical(1),rota55_minpair_not_decipherment
#olkar,3,1,herbal(1),recipes(1),rota55_minpair_not_decipherment
t#odaiin,3,1,herbal(1),recipes(1),rota55_minpair_not_decipherment
al#y,2,2,herbal(1),astronomical(1),rota55_minpair_not_decipherment
olkee#y,3,1,recipes(2),recipes(1),rota55_minpair_not_decipherment
ykee#y,2,2,astronomical(1),herbal(1),rota55_minpair_not_decipherment
#ocfhy,2,2,astronomical(2),cosmological(1),rota55_minpair_not_decipherment
y#eody,3,1,recipes(2),recipes(1),rota55_minpair_not_decipherment
dol#edy,2,2,astronomical(1),balneological(2),rota55_minpair_not_decipherment
#eyky,2,2,astronomical(1),balneological(2),rota55_minpair_not_decipherment
##y,3,1,recipes(2),astronomical(1),rota55_minpair_not_decipherment
#eolor,3,1,recipes(2),recipes(1),rota55_minpair_not_decipherment
#okeedy,3,1,recipes(2),astronomical(1),rota55_minpair_not_decipherment
ol#eedy,3,1,balneological(2),balneological(1),rota55_minpair_not_decipherment
pol#y,1,3,balneological(1),balneological(2),rota55_minpair_not_decipherment
qoke#dy,3,1,recipes(2),recipes(1),rota55_minpair_not_decipherment
#edor,3,1,recipes(2),cosmological(1),rota55_minpair_not_decipherment
#ecthey,3,1,recipes(2),recipes(1),rota55_minpair_not_decipherment
qol#eedy,2,2,balneological(1),balneological(2),rota55_minpair_not_decipherment
#eckhedy,1,3,recipes(1),balneological(2),rota55_minpair_not_decipherment
