route26_id,source,folio,locus,section_note,locus_kind,locus_code,visual_context,token,prefix,suffix,line_position,token_index,line_token_count,previous_token,next_token,line_tokens,image_file_or_url,visual_zone,ring,sector,radius,object_nearby,visual_notes,annotation_confidence,visual_match_status,semantic_guardrail
R26-0001,ZL3b-n.txt,f1r,"f1r.21,=Pt",The 2nd and 3rd paragraphs start with thick non-Voynich symbols.,P,P,paragraph/text line,otol,ot,ol,start,1,2,,daiiin,otol daiiin,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0002,ZL3b-n.txt,f1r,"f1r.24,+P0",The 2nd and 3rd paragraphs start with thick non-Voynich symbols.,P,P,paragraph/text line,okol,ok,ol,middle,5,10,shoaiin,daiin,cho o kaiin shoaiin okol daiin far cthol daiin ctholdar,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0003,ZL3b-n.txt,f1v,"f1v.9,+P0","Two paragraphs of text, plant cutting through middle",P,P,paragraph/text line,okol,ok,ol,middle,2,14,shor,chol,shor okol chol dol ky darshol dchor o tcho dar sh 209 h ody,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0004,ZL3b-n.txt,f2r,"f2r.12,+P0","Two paragraphs, top one cut in many places. 1 label near plant leaf",P,P,paragraph/text line,okol,ok,ol,start,1,10,,chy,okol chy chor cthor yor an chansaiin chety chyky sal,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0005,ZL3b-n.txt,f3r,"f3r.20,+P0",20 normal lines of text,P,P,paragraph/text line,okol,ok,ol,middle,7,9,aiin,or,ycheor chol odaiin chol s aiin okol or am,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0006,ZL3b-n.txt,f3v,"f3v.2,+P0","Same root as f100v [1,1] (Petersen",P,P,paragraph/text line,okor,ok,or,middle,4,7,okeeor,olytol,daiidy qoteeol okeeor okor olytol dol dar,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0007,ZL3b-n.txt,f3v,"f3v.4,+P0","Same root as f100v [1,1] (Petersen",P,P,paragraph/text line,okal,ok,al,middle,5,9,kcheol,do,qodar ees eey kcheol okal do r chear een,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0008,ZL3b-n.txt,f4v,"f4v.8,+P0","Two paragraphs, top one split by plant",P,P,paragraph/text line,otor,ot,or,middle,5,6,sho,cthory,oleeeb chor cthol sho otor cthory,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0009,ZL3b-n.txt,f5r,"f5r.2,+P0",Two paragraphs,P,P,paragraph/text line,otol,ot,ol,end,14,14,s,,ochey okey qokaiin sho ckhoy cthey chey ok a y 131 o s otol,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0010,ZL3b-n.txt,f5v,"f5v.4,+P0",Only one paragraph of text,P,P,paragraph/text line,otol,ot,ol,middle,3,10,shees,ykoiin,qotor shees otol ykoiin shol daiin cthor okch y taiin,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0011,ZL3b-n.txt,f5v,"f5v.6,+P0",Only one paragraph of text,P,P,paragraph/text line,otol,ot,ol,start,1,3,,chol,otol chol dairodg,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0012,ZL3b-n.txt,f6v,"f6v.5,+P0",21 lines in apparently two paragraphs,P,P,paragraph/text line,okor,ok,or,middle,6,7,dam,otydoldom,dair c ha chodam dam okor otydoldom,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0013,ZL3b-n.txt,f6v,"f6v.20,+P0",21 lines in apparently two paragraphs,P,P,paragraph/text line,okol,ok,ol,middle,3,4,choldar,daiin,dchor choldar okol daiin,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0014,ZL3b-n.txt,f8r,"f8r.18,+P0",last word(s) in each paragraph flushed to the right (signatures?),P,P,paragraph/text line,okar,ok,ar,start,1,8,,cfhaiin,okar cfhaiin chaiin cl daiin chor cha rchealcham,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0015,ZL3b-n.txt,f8v,"f8v.1,@P0",Plant ID: Silene,P,P,paragraph/text line,otol,ot,ol,middle,11,15,shol,chol,c 216 h od soo c 196 h sol shol otol chol opcheaiin opydaiin saiin,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0016,ZL3b-n.txt,f8v,"f8v.14,+P0",Plant ID: Silene,P,P,paragraph/text line,okol,ok,ol,middle,2,8,shor,lokaiinshol,shor okol lokaiinshol kol char cthey tchy ckham,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0017,ZL3b-n.txt,f9r,"f9r.3,+P0",last 3 words in last paragraph indented (signatures?),P,P,paragraph/text line,okor,ok,or,middle,6,9,cthy,cheyctho,toiin cphy qotod otaiin cthy okor cheyctho d ram,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0018,ZL3b-n.txt,f9r,"f9r.4,+P0",last 3 words in last paragraph indented (signatures?),P,P,paragraph/text line,otar,ot,ar,middle,8,10,shaiin,dorytol,y o shy chokcho chcthod shor shaiin otar dorytol dayty,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0019,ZL3b-n.txt,f9v,"f9v.4,+P0",RZ: Viola allright but all upside down,P,P,paragraph/text line,otol,ot,ol,middle,6,8,cthor,oty,ytey tch y kaiin cthor otol oty toldy,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0020,ZL3b-n.txt,f10r,"f10r.8,+P0",Plant ID: Scabiosa,P,P,paragraph/text line,otol,ot,ol,middle,3,7,chor,chol,qotchor chor otol chol cholorchol daiin dar,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0021,ZL3b-n.txt,f10r,"f10r.10,+P0",Plant ID: Scabiosa,P,P,paragraph/text line,otor,ot,or,middle,5,8,r,cfhy,oqot o a r otor cfhy cthor osainytoiin,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0022,ZL3b-n.txt,f11r,"f11r.6,+P0",Plant ID: Silene Aca[ul|nt]is (O'N),P,P,paragraph/text line,otol,ot,ol,middle,5,12,y,chaiin,odl d s y otol chaiin ykchor dair chody cthy s daiin,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0023,ZL3b-n.txt,f13v,"f13v.1,@P0",Plant ID: Crassulatea Fetthenne(sp?),P,P,paragraph/text line,otol,ot,ol,middle,5,7,kchod,otchy,koair chtoiin otchy kchod otol otchy octhos,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0024,ZL3b-n.txt,f13v,"f13v.7,+P0",Plant ID: Crassulatea Fetthenne(sp?),P,P,paragraph/text line,okal,ok,al,middle,2,8,dain,chy,dain okal chy qokchorydchy kok y a daiinshon,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0025,ZL3b-n.txt,f13v,"f13v.9,+P0",Plant ID: Crassulatea Fetthenne(sp?),P,P,paragraph/text line,otal,ot,al,middle,2,7,tchtod,cthor,tchtod otal cthor ytaly cho talsho qocthy,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0026,ZL3b-n.txt,f14r,"f14r.2,+P0","Plant ID: Pfeilkraut - scorpion, Sagittaria",P,P,paragraph/text line,okol,ok,ol,end,7,7,da,,o ykeey soiiin chok qokchy da okol,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0027,ZL3b-n.txt,f14r,"f14r.6,+P0","Plant ID: Pfeilkraut - scorpion, Sagittaria",P,P,paragraph/text line,okor,ok,or,middle,3,5,oir,choor,ychol oir okor choor ockhy,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0028,ZL3b-n.txt,f16r,"f16r.8,+P0","Plant ID: Canabis, Hemp, Ampfer(?)",P,P,paragraph/text line,otol,ot,ol,middle,5,6,shody,daiin,shotchy ydain yky shody otol daiin,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0029,ZL3b-n.txt,f16r,"f16r.10,+P0","Plant ID: Canabis, Hemp, Ampfer(?)",P,P,paragraph/text line,okal,ok,al,end,10,10,cfy,,toror dal y o dal opchy fchol ypcho cfy okal,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0030,ZL3b-n.txt,f16v,"f16v.12,+P0",gathering  mark 2: 29,P,P,paragraph/text line,otor,ot,or,middle,3,4,yky,chody,daiin yky otor chody,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0031,ZL3b-n.txt,f17r,"f17r.3,+P0",mull*av alhor lucz hev vellome o ***....,P,P,paragraph/text line,okor,ok,or,middle,5,7,qodam,chor,chol or chy qodam okor chor okchom,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0032,ZL3b-n.txt,f17v,"f17v.2,+P0",trachaia leaves (Dioscorides fol/25r),P,P,paragraph/text line,okol,ok,ol,middle,4,6,cthodal,odaiin,ycheey keeor cthodal okol odaiin okal,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0033,ZL3b-n.txt,f17v,"f17v.2,+P0",trachaia leaves (Dioscorides fol/25r),P,P,paragraph/text line,okal,ok,al,end,6,6,odaiin,,ycheey keeor cthodal okol odaiin okal,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0034,ZL3b-n.txt,f17v,"f17v.3,+P0",trachaia leaves (Dioscorides fol/25r),P,P,paragraph/text line,okal,ok,al,middle,3,6,odaiin,oldaiin,oldaig odaiin okal oldaiin chockhol olol,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0035,ZL3b-n.txt,f17v,"f17v.10,+P0",trachaia leaves (Dioscorides fol/25r),P,P,paragraph/text line,okar,ok,ar,middle,3,8,okeor,okol,oytor okeor okar okol daiir a r m,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0036,ZL3b-n.txt,f17v,"f17v.10,+P0",trachaia leaves (Dioscorides fol/25r),P,P,paragraph/text line,okol,ok,ol,middle,4,8,okar,daiir,oytor okeor okar okol daiir a r m,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0037,ZL3b-n.txt,f17v,"f17v.15,+P0",trachaia leaves (Dioscorides fol/25r),P,P,paragraph/text line,otor,ot,or,middle,6,7,cheo,oteol,ychor cthy che eky cheo otor oteol,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0038,ZL3b-n.txt,f17v,"f17v.18,+P0",trachaia leaves (Dioscorides fol/25r),P,P,paragraph/text line,otor,ot,or,start,1,8,,cheeor,otor cheeor ol chol dor chr or eees,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0039,ZL3b-n.txt,f18r,"f18r.8,+P0","Currier's language A, hand 1",P,P,paragraph/text line,okal,ok,al,middle,4,5,olody,dydary,qokchor ckhol olody okal dydary,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0040,ZL3b-n.txt,f18r,"f18r.13,+P0","Currier's language A, hand 1",P,P,paragraph/text line,okal,ok,al,middle,8,9,cthal,dar,or shaiin cth a o r cthal okal dar,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0041,ZL3b-n.txt,f20v,"f20v.2,+P0","Currier's language A, hand 1",P,P,paragraph/text line,otol,ot,ol,middle,7,10,checthy,chol,sos ykoiin cheol chol choiin checthy otol chol chodaiin oty,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0042,ZL3b-n.txt,f20v,"f20v.5,+P0","Currier's language A, hand 1",P,P,paragraph/text line,otor,ot,or,middle,3,9,folchol,shol,tshol folchol otor shol shor fshodchy otchy chcphy dy,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0043,ZL3b-n.txt,f21r,"f21r.5,+P0","Currier's language A, hand 1",P,P,paragraph/text line,otol,ot,ol,middle,5,8,qokoiin,chol,ykeey daiin chosy qokoiin otol chol qotcheol okeoaiin,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0044,ZL3b-n.txt,f21r,"f21r.8,+P0","Currier's language A, hand 1",P,P,paragraph/text line,otor,ot,or,middle,3,8,kshy,sheol,fcho kshy otor sheol ocphal opsheas cthodaiin oty,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0045,ZL3b-n.txt,f23r,"f23r.6,+P0","Same plant as f102r2[3,1] (FSG, GL)",P,P,paragraph/text line,okol,ok,ol,middle,7,12,dar,dchey,tshol y kor qokaiin yky dar okol dchey daiidal dam ytcho ldals,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0046,ZL3b-n.txt,f23r,"f23r.7,+P0","Same plant as f102r2[3,1] (FSG, GL)",P,P,paragraph/text line,okar,ok,ar,start,1,11,,olchar,okar olchar shaiin qokchol dar qokchol dairo r ol daiin alg,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0047,ZL3b-n.txt,f23r,"f23r.9,+P0","Same plant as f102r2[3,1] (FSG, GL)",P,P,paragraph/text line,okol,ok,ol,start,1,12,,ok,okol ok shy qokol dydal d j she qokeees y olydaiin dal,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0048,ZL3b-n.txt,f23v,"f23v.1,@P0","Currier's language A, hand 1",P,P,paragraph/text line,otol,ot,ol,middle,7,11,opchol,ol,podairol odaiiily sho al dy opchol otol ol chcphy qotchar s,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0049,ZL3b-n.txt,f23v,"f23v.6,+P0","Currier's language A, hand 1",P,P,paragraph/text line,okol,ok,ol,middle,4,6,shkshy,daiinotshor,tshol shor shkshy okol daiinotshor olsar,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0050,ZL3b-n.txt,f23v,"f23v.7,+P0","Currier's language A, hand 1",P,P,paragraph/text line,otor,ot,or,start,1,8,,oiin,otor oiin sho shol qokol daiinsol daiin ylg,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0051,ZL3b-n.txt,f23v,"f23v.8,+P0","Currier's language A, hand 1",P,P,paragraph/text line,okal,ok,al,middle,4,8,qokor,g,qokaiin dain qokor okal g damchor olol dam,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0052,ZL3b-n.txt,f23v,"f23v.10,+P0","Currier's language A, hand 1",P,P,paragraph/text line,otol,ot,ol,middle,7,8,l,oloiir,dor chy kshol chol ctho l otol oloiir,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0053,ZL3b-n.txt,f24r,"f24r.3,+P0","Currier's language A, hand 1",P,P,paragraph/text line,okol,ok,ol,middle,3,5,cthal,qotar,ycthar cthal okol qotar ckhy,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0054,ZL3b-n.txt,f24r,"f24r.6,+P0","Currier's language A, hand 1",P,P,paragraph/text line,otal,ot,al,middle,3,5,cthor,qocthol,oeeeos cthor otal qocthol qoky,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0055,ZL3b-n.txt,f24v,"f24v.2,+P0",Plant ID: (hard to read),P,P,paragraph/text line,otol,ot,ol,middle,9,12,r,otaiirotchos,ydals ckhor shy cho dch o a r otol otaiirotchos okchom okcho,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0056,ZL3b-n.txt,f24v,"f24v.4,+P0",Plant ID: (hard to read),P,P,paragraph/text line,okol,ok,ol,middle,3,6,sh,okaiin,ydal sh okol okaiin odaiin dlos,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0057,ZL3b-n.txt,f25r,"f25r.2,+P0",Plant ID: too many to list here but mostly nettle- or mint-like,P,P,paragraph/text line,otor,ot,or,start,1,12,,chor,otor chor chsky chotchy shair qod sh a o chy kchy chkain,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0058,ZL3b-n.txt,f25r,"f25r.6,+P0",Plant ID: too many to list here but mostly nettle- or mint-like,P,P,paragraph/text line,okal,ok,al,start,1,2,,chotaiin,okal chotaiin,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0059,ZL3b-n.txt,f27r,"f27r.12,+P0",Plant ID: (small one:) Asarium Europeum (Haselwurz),P,P,paragraph/text line,otal,ot,al,end,5,5,cthey,,dain cheokeey chey cthey otal,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0060,ZL3b-n.txt,f28r,"f28r.4,+P0",Plant ID: Arum or Arisarum (Haselwurtz),P,P,paragraph/text line,otol,ot,ol,middle,3,7,chtol,chotchy,choty chtol otol chotchy ctholotol choky qoty,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0061,ZL3b-n.txt,f28r,"f28r.7,+P0",Plant ID: Arum or Arisarum (Haselwurtz),P,P,paragraph/text line,otor,ot,or,middle,2,7,sho,shockhy,sho otor shockhy shocthy otoldydshor dol dar,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0062,ZL3b-n.txt,f28v,"f28v.5,+P0","Currier's language A, hand 1",P,P,paragraph/text line,otol,ot,ol,start,1,8,,chol,otol chol daiin chkaiin shoiin qotchey qotshey daiiin,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0063,ZL3b-n.txt,f29v,"f29v.8,+P0","Currier's language A, hand 1",P,P,paragraph/text line,otol,ot,ol,start,1,9,,shotchor,otol shotchor cholody dainch cti cth chy cthody dol,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0064,ZL3b-n.txt,f31v,"f31v.6,+P0",Plant ID: Heracleum cervofilum,P,P,paragraph/text line,otar,ot,ar,end,11,11,sheo,,pcheeody qop chedal checfhy chefchol or cheef alaiin opal sheo otar,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0065,ZL3b-n.txt,f31v,"f31v.7,+P0",Plant ID: Heracleum cervofilum,P,P,paragraph/text line,okal,ok,al,middle,7,11,okeol,oky,olkeedam ches chol keeol checkhy okeol okal oky cheokar okor ary,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0066,ZL3b-n.txt,f31v,"f31v.7,+P0",Plant ID: Heracleum cervofilum,P,P,paragraph/text line,okor,ok,or,middle,10,11,cheokar,ary,olkeedam ches chol keeol checkhy okeol okal oky cheokar okor ary,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0067,ZL3b-n.txt,f32r,"f32r.2,+P0",brunella vulgaris,P,P,paragraph/text line,okor,ok,or,start,1,6,,okchor,okor okchor sheor ckhy daldshodar qotchol,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0068,ZL3b-n.txt,f32r,"f32r.7,+P0",brunella vulgaris,P,P,paragraph/text line,otol,ot,ol,start,1,4,,dol,otol dol ol dair,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0069,ZL3b-n.txt,f33r,"f33r.2,+P0",herbal,P,P,paragraph/text line,otor,ot,or,middle,6,10,qokaldy,oldar,ytchedy qokar cheky okaldy qokaldy otor oldar qotar otar otardam,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0070,ZL3b-n.txt,f33r,"f33r.2,+P0",herbal,P,P,paragraph/text line,otar,ot,ar,middle,9,10,qotar,otardam,ytchedy qokar cheky okaldy qokaldy otor oldar qotar otar otardam,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0071,ZL3b-n.txt,f33r,"f33r.5,+P0",herbal,P,P,paragraph/text line,okal,ok,al,middle,8,15,aiin,otal,pair or aiin otaiin ol kor aiin okal otal chdal shekal qokar ota m g,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0072,ZL3b-n.txt,f33r,"f33r.5,+P0",herbal,P,P,paragraph/text line,otal,ot,al,middle,9,15,okal,chdal,pair or aiin otaiin ol kor aiin okal otal chdal shekal qokar ota m g,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0073,ZL3b-n.txt,f33r,"f33r.6,+P0",herbal,P,P,paragraph/text line,okal,ok,al,end,9,9,daiin,,yteey shody kchedy dy chekar okaiin okaiin daiin okal,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0074,ZL3b-n.txt,f33v,"f33v.6,+P0",Plant ID: Scabiosa,P,P,paragraph/text line,okar,ok,ar,middle,4,8,olaiin,chdy,ycheo dar olaiin okar chdy chdy oldyokar chdy,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0075,ZL3b-n.txt,f33v,"f33v.8,+P0",Plant ID: Scabiosa,P,P,paragraph/text line,okar,ok,ar,middle,6,12,okchy,okedy,dar ar sheey keedy okchy okar okedy chydaiin dy dydar aiin okary,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0076,ZL3b-n.txt,f34r,"f34r.12,+P0",well with lines on the left one below the expected.,P,P,paragraph/text line,okor,ok,or,middle,3,12,aiin,ar,char aiin okor ar tolqokar chckhy chdal ked qokar ar daiin dam,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0077,ZL3b-n.txt,f34v,"f34v.8,+P0",Plant ID: libanotus umbilifera,P,P,paragraph/text line,otar,ot,ar,middle,2,12,ysheos,ar,ysheos otar ar choraiin cheky olchdaiin or oldar chdar oka m g,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0078,ZL3b-n.txt,f34v,"f34v.11,+P0",Plant ID: libanotus umbilifera,P,P,paragraph/text line,okal,ok,al,middle,6,7,okey,shedy,yshos ody s aiin okey okal shedy,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0079,ZL3b-n.txt,f36r,"f36r.7,+P0",Plant ID: Geranium (SDC = [RZ]),P,P,paragraph/text line,okol,ok,ol,middle,3,5,cthol,dy,qotol cthol okol dy okchyytororysold,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0080,ZL3b-n.txt,f36v,"f36v.3,+P0",Plant ID: Indian hemp,P,P,paragraph/text line,otar,ot,ar,middle,5,7,qopchor,otchaiin,dchytchy ytor sotaiin qopchor otar otchaiin s,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0081,ZL3b-n.txt,f39r,"f39r.14,+P0",Same plant as f95r2 ? (Stolfi),P,P,paragraph/text line,otal,ot,al,middle,9,11,daiin,chdam,daiin shckhy chekl ol daiin chedy ykeey daiin otal chdam qokam,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0082,ZL3b-n.txt,f39v,"f39v.5,+P0",Plant ID: Primulaceon(?) (ag arthritis),P,P,paragraph/text line,otar,ot,ar,middle,5,14,kain,or,ytedykor or sheky kain otar or aiin okaiin ckhol ol kor oto r ofchy,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0083,ZL3b-n.txt,f39v,"f39v.7,+P0",Plant ID: Primulaceon(?) (ag arthritis),P,P,paragraph/text line,okar,ok,ar,middle,6,7,oralyolaiir,ar,pardy shedy qokar sheedy oralyolaiir okar ar,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0084,ZL3b-n.txt,f39v,"f39v.9,+P0",Plant ID: Primulaceon(?) (ag arthritis),P,P,paragraph/text line,okal,ok,al,middle,8,12,ydamshody,shd,tar aiin dal ar ain cheor ydamshody okal shd y kshy or,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0085,ZL3b-n.txt,f39v,"f39v.12,+P0",Plant ID: Primulaceon(?) (ag arthritis),P,P,paragraph/text line,otal,ot,al,middle,3,8,alaiin,chd,paiin alaiin otal chd okar amokar cheodal ockhy,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0086,ZL3b-n.txt,f39v,"f39v.12,+P0",Plant ID: Primulaceon(?) (ag arthritis),P,P,paragraph/text line,okar,ok,ar,middle,5,8,chd,amokar,paiin alaiin otal chd okar amokar cheodal ockhy,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0087,ZL3b-n.txt,f40r,"f40r.1,@P0",Plant ID: Primulaceon,P,P,paragraph/text line,okal,ok,al,middle,5,10,aldydyqoky,shdy,pchey k eodar aldydyqoky okal shdy olkedy opches ar ordaiin,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0088,ZL3b-n.txt,f40r,"f40r.2,+P0",Plant ID: Primulaceon,P,P,paragraph/text line,okar,ok,ar,middle,2,13,qokar,okedy,qokar okar okedy darykchey kaiin ok a o s chedy okar a ralos,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0089,ZL3b-n.txt,f40r,"f40r.2,+P0",Plant ID: Primulaceon,P,P,paragraph/text line,okar,ok,ar,middle,11,13,chedy,a,qokar okar okedy darykchey kaiin ok a o s chedy okar a ralos,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0090,ZL3b-n.txt,f40r,"f40r.4,+P0",Plant ID: Primulaceon,P,P,paragraph/text line,okar,ok,ar,middle,6,9,okaiin,oky,or aiin chekody darqokol okaiin okar oky okoldy ol,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0091,ZL3b-n.txt,f40v,"f40v.5,+P0","Plant ID: Thistle, Gerneolem(?) Artichoke, Helianthus Tuberosus",P,P,paragraph/text line,okar,ok,ar,middle,2,4,solaiin,oly,solaiin okar oly chckhy,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0092,ZL3b-n.txt,f40v,"f40v.8,+P0","Plant ID: Thistle, Gerneolem(?) Artichoke, Helianthus Tuberosus",P,P,paragraph/text line,okal,ok,al,end,3,3,chkalykedy,,chodaiin chkalykedy okal,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0093,ZL3b-n.txt,f40v,"f40v.14,+P0","Plant ID: Thistle, Gerneolem(?) Artichoke, Helianthus Tuberosus",P,P,paragraph/text line,okar,ok,ar,middle,5,9,kchedy,qokchdy,saiin o lchey kchedy okar qokchdy dyqokees am chdy,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0094,ZL3b-n.txt,f40v,"f40v.16,+P0","Plant ID: Thistle, Gerneolem(?) Artichoke, Helianthus Tuberosus",P,P,paragraph/text line,okar,ok,ar,middle,5,9,ar,qoky,shol kedy lor ar okar qoky kedy ryteey qokam,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0095,ZL3b-n.txt,f40v,"f40v.18,+P0","Plant ID: Thistle, Gerneolem(?) Artichoke, Helianthus Tuberosus",P,P,paragraph/text line,okal,ok,al,middle,4,7,chckhy,okair,saiin otain chckhy okal okair arolqokey okary,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0096,ZL3b-n.txt,f41r,"f41r.4,+P0",Transcription quality seriously reduced on this page,P,P,paragraph/text line,otal,ot,al,middle,9,12,oteey,da,chdchy ytcheeky ypchedy schdyytedy cthh y chees oteey otal da m g,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0097,ZL3b-n.txt,f41v,"f41v.6,+P0",Plain carrot or variety (RZ),P,P,paragraph/text line,okal,ok,al,middle,5,11,yteedy,o,tadaiin ol cheos yteedy okal o a ldoteol qokal or oteody,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0098,ZL3b-n.txt,f42r,"f42r.10,+P0","crelpius(sp?) ranunculus, arum sagittarii",P,P,paragraph/text line,otol,ot,ol,middle,5,8,cthor,cthol,choty dol ksheo cthor otol cthol cholshol dain,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0099,ZL3b-n.txt,f42r,"f42r.20,+P0","crelpius(sp?) ranunculus, arum sagittarii",P,P,paragraph/text line,okol,ok,ol,middle,4,8,shoky,sho,shol chol shoky okol sho chol shol chal,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
