metric,item,n
html_card_status,ready_for_guided_manual_entry,6
validation_status,pending_blank_manual_entry,6
priority_level,P1,4
priority_level,P0,2
folio,f67r1,3
folio,f70v2,2
folio,f68r3,1
target_type,missing_group_tokens,6
