d,I_d,null_mean,excess,I_d_lineshuffled,semantic_guardrail
123,0.00303,0.001806,0.001224,0.001793,rota59_long_range_not_decipherment
124,0.003011,0.001743,0.001269,0.001985,rota59_long_range_not_decipherment
125,0.003222,0.001819,0.001403,0.00187,rota59_long_range_not_decipherment
126,0.003232,0.001838,0.001394,0.002077,rota59_long_range_not_decipherment
127,0.003054,0.001659,0.001395,0.001925,rota59_long_range_not_decipherment
128,0.003196,0.001838,0.001357,0.001893,rota59_long_range_not_decipherment
129,0.003013,0.001769,0.001244,0.00175,rota59_long_range_not_decipherment
130,0.003097,0.001761,0.001337,0.001739,rota59_long_range_not_decipherment
131,0.003266,0.001704,0.001562,0.001736,rota59_long_range_not_decipherment
132,0.003453,0.001839,0.001615,0.001743,rota59_long_range_not_decipherment
133,0.00306,0.001761,0.001299,0.001756,rota59_long_range_not_decipherment
134,0.003057,0.001878,0.001179,0.001732,rota59_long_range_not_decipherment
135,0.002763,0.001815,0.000948,0.001869,rota59_long_range_not_decipherment
136,0.002962,0.001765,0.001198,0.001946,rota59_long_range_not_decipherment
137,0.003126,0.001839,0.001287,0.0019,rota59_long_range_not_decipherment
138,0.002713,0.001823,0.00089,0.001913,rota59_long_range_not_decipherment
139,0.002866,0.001813,0.001054,0.001779,rota59_long_range_not_decipherment
140,0.002611,0.001767,0.000843,0.001868,rota59_long_range_not_decipherment
141,0.003251,0.001852,0.0014,0.001801,rota59_long_range_not_decipherment
142,0.002791,0.001763,0.001028,0.001757,rota59_long_range_not_decipherment
143,0.002986,0.001787,0.001199,0.001796,rota59_long_range_not_decipherment
144,0.003067,0.0018,0.001267,0.001695,rota59_long_range_not_decipherment
145,0.003177,0.001751,0.001426,0.00183,rota59_long_range_not_decipherment
146,0.002749,0.001749,0.001,0.00185,rota59_long_range_not_decipherment
147,0.002847,0.001766,0.001081,0.00187,rota59_long_range_not_decipherment
148,0.002507,0.001838,0.00067,0.001848,rota59_long_range_not_decipherment
149,0.002766,0.001787,0.000979,0.001599,rota59_long_range_not_decipherment
150,0.002772,0.001773,0.000999,0.001596,rota59_long_range_not_decipherment
