route27_id,folio,locus_kind,gap_rows,unique_loci,token_counts,prefix_counts,suffix_counts,line_position_counts,top_loci,section_notes,image_source_status,image_manifest_folio,image_url,commons_page,priority_level,priority_reason,review_action,semantic_guardrail
R27-014,f85r1,P,11,9,otar=4|okar=3|okal=1|otal=1|otol=1|otor=1,ot=7|ok=4,ar=7|al=2|ol=1|or=1,middle=11,"f85r1.4,+P0|f85r1.15,+P0|f85r1.16,+P0|f85r1.24,+P0|f85r1.28,+P0",it was written line by line.,not_in_manifest,,,,P1,many_gaps_but_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-015,f105v,P,10,8,otar=5|otal=2|okal=1|okol=1|otor=1,ot=8|ok=2,ar=5|al=3|ol=1|or=1,middle=9|end=1,"f105v.2,+P0|f105v.12,+P0|f105v.13,+P0|f105v.16,+P0|f105v.24,+P0","Light star, dotted, 7 points, tail|Light star, 7 points, tail|Light star, 8 points, tail",not_in_manifest,,,,P1,many_gaps_but_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-016,f106v,P,10,9,okal=4|otal=2|otar=2|otol=1|otor=1,ot=6|ok=4,al=6|ar=2|ol=1|or=1,middle=10,"f106v.2,+P0|f106v.3,+P0|f106v.12,+P0|f106v.19,+P0|f106v.21,+P0","Light star, 7 points, tail|Light star, dotted, 8 points, tail|Light star, dotted, 7 points, tail",not_in_manifest,,,,P1,many_gaps_but_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-017,f112r,P,10,8,okal=3|otar=3|okar=2|otal=2,ok=5|ot=5,al=5|ar=5,middle=9|end=1,"f112r.2,+P0|f112r.4,+P0|f112r.5,+P0|f112r.18,+P0|f112r.19,+P0","Light star, dotted, 7 points, tail|Light star, 7 points, tail|Light star, 8 points, tail",not_in_manifest,,,,P1,many_gaps_but_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-018,f114r,P,10,9,okar=3|otar=3|otal=2|okol=1|otol=1,ot=6|ok=4,ar=6|al=2|ol=2,middle=10,"f114r.15,+P0|f114r.16,+P0|f114r.18,+P0|f114r.20,+P0|f114r.25,+P0","Light star, dotted, 7 points, tail|Light star, 7 points, tail|Light star, 8 points, tail",not_in_manifest,,,,P1,many_gaps_but_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-019,f84v,P,10,9,otal=3|okal=2|okar=2|otol=2|okol=1,ok=5|ot=5,al=5|ol=3|ar=2,middle=9|single=1,"f84v.13,+P0|f84v.15,+P0|f84v.17,+P0|f84v.19,+P0|f84v.23,+P0",gathering mark 13|Two small blocks,not_in_manifest,,,,P1,many_gaps_but_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-020,f1r,P,2,2,okol=1|otol=1,ok=1|ot=1,ol=2,middle=1|start=1,"f1r.21,=Pt|f1r.24,+P0",The 2nd and 3rd paragraphs start with thick non-Voynich symbols.,manifest_available,f1r,https://upload.wikimedia.org/wikipedia/commons/3/37/Voynich_Manuscript_%283%29.jpg,https://commons.wikimedia.org/wiki/File:Voynich_Manuscript_(3).jpg,P1,some_gaps_and_manifest_image_available,open_manifest_image_and_add_visual_annotations_for_exact_forms,visual_gap_priority_not_evidence
R27-021,f67r2,P,2,2,okol=2,ok=2,ol=2,end=1|middle=1,"f67r2.35,@Pb|f67r2.73,+P0","Blocked text and individual words in sectors, starting at 10:00|The following single line is in red ink",manifest_available,f67r1_r2,https://upload.wikimedia.org/wikipedia/commons/e/ef/Voynich_Manuscript_%28121%29.jpg,https://commons.wikimedia.org/wiki/File:Voynich_Manuscript_(121).jpg,P1,some_gaps_and_manifest_image_available,open_manifest_image_and_add_visual_annotations_for_exact_forms,visual_gap_priority_not_evidence
R27-022,f67v1,L,2,2,okal=1|okol=1,ok=2,al=1|ol=1,start=2,"f67v1.3,&L0|f67v1.5,&L0","Scattered loci, really on circle:",manifest_available,f67v2_v1,https://upload.wikimedia.org/wikipedia/commons/a/ab/Voynich_Manuscript_%28122%29.jpg,https://commons.wikimedia.org/wiki/File:Voynich_Manuscript_(122).jpg,P1,some_gaps_and_manifest_image_available,open_manifest_image_and_add_visual_annotations_for_exact_forms,visual_gap_priority_not_evidence
R27-023,f84r,P,2,2,okal=1|otar=1,ok=1|ot=1,al=1|ar=1,middle=2,"f84r.24,+P0|f84r.29,+P0",For nymph labels: Petersen ID in comments,manifest_available,f84r,https://upload.wikimedia.org/wikipedia/commons/8/8e/Voynich_Manuscript_%28153%29.jpg,https://commons.wikimedia.org/wiki/File:Voynich_Manuscript_(153).jpg,P1,some_gaps_and_manifest_image_available,open_manifest_image_and_add_visual_annotations_for_exact_forms,visual_gap_priority_not_evidence
