route27_id,folio,locus_kind,gap_rows,unique_loci,token_counts,prefix_counts,suffix_counts,line_position_counts,top_loci,section_notes,image_source_status,image_manifest_folio,image_url,commons_page,priority_level,priority_reason,review_action,semantic_guardrail
R27-058,f101r,P,5,4,okol=3|okor=1|otol=1,ok=4|ot=1,ol=4|or=1,middle=5,"f101r.2,+P0|f101r.3,+P0|f101r.5,+P0|f101r.8,+P0","Currier's language A, hand 4?",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-059,f115v,P,5,5,okar=2|okor=1|otal=1|otar=1,ok=3|ot=2,ar=3|al=1|or=1,middle=5,"f115v.5,+P0|f115v.7,+P0|f115v.8,+P0|f115v.20,+P0|f115v.32,+P0","Light star, dotted, 8 points, tail|Light star, 8 points, tail|Light star, 7 points, tail(?)",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-060,f23v,P,5,5,otol=2|okal=1|okol=1|otor=1,ot=3|ok=2,ol=3|al=1|or=1,middle=4|start=1,"f23v.1,@P0|f23v.6,+P0|f23v.7,+P0|f23v.8,+P0|f23v.10,+P0","Currier's language A, hand 1",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-061,f33r,P,5,3,okal=2|otal=1|otar=1|otor=1,ot=3|ok=2,al=3|ar=1|or=1,middle=4|end=1,"f33r.2,+P0|f33r.5,+P0|f33r.6,+P0",herbal,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-062,f39v,P,5,4,okar=2|okal=1|otal=1|otar=1,ok=3|ot=2,ar=3|al=2,middle=5,"f39v.5,+P0|f39v.7,+P0|f39v.9,+P0|f39v.12,+P0",Plant ID: Primulaceon(?) (ag arthritis),not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-063,f40v,P,5,5,okar=3|okal=2,ok=5,ar=3|al=2,middle=4|end=1,"f40v.5,+P0|f40v.8,+P0|f40v.14,+P0|f40v.16,+P0|f40v.18,+P0","Plant ID: Thistle, Gerneolem(?) Artichoke, Helianthus Tuberosus",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-064,f50v,P,5,4,okal=2|okar=1|otar=1|otor=1,ok=3|ot=2,al=2|ar=2|or=1,middle=4|end=1,"f50v.3,+P0|f50v.4,+P0|f50v.6,+P0|f50v.8,+P0","Plant ID: Umbellifera? (O'Neill), (coxcomb?)",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-065,f71v,C,5,3,okal=1|okol=1|otal=1|otar=1|otor=1,ot=3|ok=2,al=2|ar=1|ol=1|or=1,middle=5,"f71v.1,@Cc|f71v.12,@Cc|f71v.18,@Cc","Added text from v101: ?chey.otche|Nymph labels, outer ring:|Nymph labels, inner ring:",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-066,f103r,P,4,4,otar=2|okal=1|otal=1,ot=3|ok=1,al=2|ar=2,middle=4,"f103r.1,@P0|f103r.3,+P0|f103r.21,+P0|f103r.22,+P0","Dark star, 7 points|Light star, 7 points",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-067,f40r,P,4,3,okar=3|okal=1,ok=4,ar=3|al=1,middle=4,"f40r.1,@P0|f40r.2,+P0|f40r.4,+P0",Plant ID: Primulaceon,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-068,f44v,P,4,3,otol=2|okal=1|otal=1,ot=3|ok=1,al=2|ol=2,middle=2|end=1|start=1,"f44v.1,@P0|f44v.3,+P0|f44v.11,+P0","Curriers language A, hand 1",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-069,f50r,P,4,4,okar=2|okal=1|otal=1,ok=3|ot=1,al=2|ar=2,middle=4,"f50r.2,+P0|f50r.5,+P0|f50r.6,+P0|f50r.7,+P0","Plant ID: Artichoke, (species of sunflower?)",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-070,f68v3,C,4,2,okol=2|otol=2,ok=2|ot=2,ol=4,middle=4,"f68v3.5,@Cc|f68v3.14,@Cc","Outer Circle, starting at the marker|Inner circle",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-071,f70r1,C,4,3,okal=1|okol=1|otar=1|otol=1,ok=2|ot=2,ol=2|al=1|ar=1,middle=4,"f70r1.2,@Cc|f70r1.3,+Cc|f70r1.13,@Cc",Has 'a' in upper left corner.,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-072,f70r2,C,4,3,okar=1|okol=1|otar=1|otol=1,ok=2|ot=2,ar=2|ol=2,middle=3|start=1,"f70r2.15,@Cc|f70r2.16,+Cc|f70r2.17,+Cc",Has 'b' in upper left corner.,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-073,f71r,C,4,2,otol=3|otal=1,ot=4,ol=3|al=1,middle=4,"f71r.1,@Cc|f71r.18,@Cc","start markers.|Nymph labels, inner ring",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-074,f72r2,L,4,4,okal=2|otal=1|otar=1,ok=2|ot=2,al=3|ar=1,single=3|start=1,"f72r2.9,&Lz|f72r2.11,&Lz|f72r2.17,&Lz|f72r2.23,@Lz","Nymph labels, second ring:|Nymph labels, inner ring:",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-075,f72v1,C,4,2,otar=3|otol=1,ot=4,ar=3|ol=1,middle=3|start=1,"f72v1.1,@Cc|f72v1.22,@Cc",Has gathering mark 11.|Outer band of labels,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-076,f81v,P,4,4,okal=2|okar=1|otar=1,ok=3|ot=1,al=2|ar=2,end=3|middle=1,"f81v.2,+P0|f81v.5,+P0|f81v.13,+P0|f81v.21,+P0",16 ladies in an odd-shaped bathtub,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-077,f82v,P,4,4,otal=2|okal=1|okar=1,ok=2|ot=2,al=3|ar=1,middle=4,"f82v.16,+P0|f82v.19,+P0|f82v.21,+P0|f82v.35,+P0","Currier's language B, hand 2",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-078,f83r,P,4,4,otal=2|otor=2,ot=4,al=2|or=2,middle=3|end=1,"f83r.12,+P0|f83r.18,+P0|f83r.23,+P0|f83r.25,@P1","Currier's  language B, hand 2",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-079,f95v1,P,4,3,otal=2|otar=2,ot=4,al=2|ar=2,middle=3|start=1,"f95v1.2,+P0|f95v1.5,+P0|f95v1.7,+P0","Plant ID: Wermut, Artemisium Absynthum",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-080,f100v,P,3,2,okar=1|okol=1|okor=1,ok=3,ar=1|ol=1|or=1,middle=3,"f100v.17,+P0|f100v.21,+P0",Third rows of labels,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-081,f102r2,P,3,3,okol=1|okor=1|otol=1,ok=2|ot=1,ol=2|or=1,middle=2|start=1,"f102r2.4,+P0|f102r2.11,+P0|f102r2.18,+P0",Currier's language A|Bottom jar has three words above each other,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-082,f111r,P,3,3,okal=1|okar=1|otar=1,ok=2|ot=1,ar=2|al=1,middle=2|end=1,"f111r.7,+P0|f111r.21,+P0|f111r.54,+P0","Light star, 8 points, tail|Light star, dotted, 9 points, tail|Light star, dotted, 8 points, tail",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-083,f115r,P,3,2,otar=3,ot=3,ar=3,middle=3,"f115r.4,+P0|f115r.44,+P0","Light star, 8 points, tail",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-084,f13v,P,3,3,okal=1|otal=1|otol=1,ot=2|ok=1,al=2|ol=1,middle=3,"f13v.1,@P0|f13v.7,+P0|f13v.9,+P0",Plant ID: Crassulatea Fetthenne(sp?),not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-085,f23r,P,3,3,okol=2|okar=1,ok=3,ol=2|ar=1,start=2|middle=1,"f23r.6,+P0|f23r.7,+P0|f23r.9,+P0","Same plant as f102r2[3,1] (FSG, GL)",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-086,f31v,P,3,2,okal=1|okor=1|otar=1,ok=2|ot=1,al=1|ar=1|or=1,middle=2|end=1,"f31v.6,+P0|f31v.7,+P0",Plant ID: Heracleum cervofilum,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-087,f54v,P,3,3,okal=3,ok=3,al=3,middle=3,"f54v.8,+P0|f54v.9,+P0|f54v.13,+P0",not found in FSG item 1609,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-088,f57v,C,3,2,okal=2|otal=1,ok=2|ot=1,al=3,middle=3,"f57v.2,@Cc|f57v.4,+Cc",numbered cf. Petersen.,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-089,f66v,P,3,3,otal=2|otar=1,ot=3,al=2|ar=1,middle=3,"f66v.3,+P0|f66v.10,+P0|f66v.11,+P0","Petersen had some problems with this page, and FSG also on locus 7",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-090,f69r,P,3,3,okal=1|otal=1|otol=1,ot=2|ok=1,al=2|ol=1,middle=3,"f69r.1,@P0|f69r.2,+P0|f69r.3,+P0",One normal paragraph:,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-091,f69r,R,3,3,okar=2|otar=1,ok=2|ot=1,ar=3,middle=2|end=1,"f69r.28,@Ro|f69r.30,@Ro|f69r.33,@Ro",whether the intended direction is clockwise or counterclokwise.|Here is a segment that looks like one of these start indicators.,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-092,f81r,P,3,3,okal=1|okar=1|otar=1,ok=2|ot=1,ar=2|al=1,middle=3,"f81r.2,+P0|f81r.3,+P0|f81r.25,+P0",Right margin of text is irregular; missing picture?,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-093,f86v4,P,3,1,okal=1|okol=1|otar=1,ok=2|ot=1,al=1|ar=1|ol=1,middle=3,"f86v4.8,+P0",Text partly interrupted by creases.,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-094,f94r,P,3,2,okal=1|okar=1|otar=1,ok=2|ot=1,ar=2|al=1,middle=2|start=1,"f94r.2,+P0|f94r.9,+Pc",Plant ID: Botriculum (Lunaria? Mondform?},not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-095,f94v,P,3,3,okal=1|otar=1|otor=1,ot=2|ok=1,al=1|ar=1|or=1,middle=3,"f94v.1,@P0|f94v.4,+P0|f94v.6,+P0","Currier's language B, hand 5",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-096,f95v2,P,3,2,okar=2|okal=1,ok=3,ar=2|al=1,middle=3,"f95v2.3,+P0|f95v2.5,+P0",Plant ID: Banberry? Actaea Waxberry,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-097,fRos,L,3,3,okar=1|okor=1|otol=1,ok=2|ot=1,ar=1|ol=1|or=1,single=3,"fRos.43,@L0|fRos.131,@L0|fRos.149,@L0","The following are block left of circle, left margin unreadable|Following are counter-clockwise from 09:00",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-098,f101v,L,2,2,okol=1|otol=1,ok=1|ot=1,ol=2,single=2,"f101v.3,@Lf|f101v.10,@Lf",Two rows of labels above normal text,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-099,f101v,P,2,2,okor=1|otal=1,ok=1|ot=1,al=1|or=1,middle=2,"f101v.20,+P0|f101v.22,+P0",Two rows of labels above normal text,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-100,f104v,P,2,2,otar=1|otor=1,ot=2,ar=1|or=1,middle=2,"f104v.23,+P0|f104v.24,+P0","Light star, dotted, 8 points, tail",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-101,f10r,P,2,2,otol=1|otor=1,ot=2,ol=1|or=1,middle=2,"f10r.8,+P0|f10r.10,+P0",Plant ID: Scabiosa,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-102,f14r,P,2,2,okol=1|okor=1,ok=2,ol=1|or=1,end=1|middle=1,"f14r.2,+P0|f14r.6,+P0","Plant ID: Pfeilkraut - scorpion, Sagittaria",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-103,f16r,P,2,2,okal=1|otol=1,ok=1|ot=1,al=1|ol=1,end=1|middle=1,"f16r.8,+P0|f16r.10,+P0","Plant ID: Canabis, Hemp, Ampfer(?)",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-104,f18r,P,2,2,okal=2,ok=2,al=2,middle=2,"f18r.8,+P0|f18r.13,+P0","Currier's language A, hand 1",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-105,f20v,P,2,2,otol=1|otor=1,ot=2,ol=1|or=1,middle=2,"f20v.2,+P0|f20v.5,+P0","Currier's language A, hand 1",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-106,f21r,P,2,2,otol=1|otor=1,ot=2,ol=1|or=1,middle=2,"f21r.5,+P0|f21r.8,+P0","Currier's language A, hand 1",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-107,f24r,P,2,2,okol=1|otal=1,ok=1|ot=1,al=1|ol=1,middle=2,"f24r.3,+P0|f24r.6,+P0","Currier's language A, hand 1",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-108,f24v,P,2,2,okol=1|otol=1,ok=1|ot=1,ol=2,middle=2,"f24v.2,+P0|f24v.4,+P0",Plant ID: (hard to read),not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-109,f25r,P,2,2,okal=1|otor=1,ok=1|ot=1,al=1|or=1,start=2,"f25r.2,+P0|f25r.6,+P0",Plant ID: too many to list here but mostly nettle- or mint-like,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-110,f28r,P,2,2,otol=1|otor=1,ot=2,ol=1|or=1,middle=2,"f28r.4,+P0|f28r.7,+P0",Plant ID: Arum or Arisarum (Haselwurtz),not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-111,f32r,P,2,2,okor=1|otol=1,ok=1|ot=1,ol=1|or=1,start=2,"f32r.2,+P0|f32r.7,+P0",brunella vulgaris,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-112,f33v,P,2,2,okar=2,ok=2,ar=2,middle=2,"f33v.6,+P0|f33v.8,+P0",Plant ID: Scabiosa,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-113,f34v,P,2,2,okal=1|otar=1,ok=1|ot=1,al=1|ar=1,middle=2,"f34v.8,+P0|f34v.11,+P0",Plant ID: libanotus umbilifera,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-114,f3v,P,2,2,okal=1|okor=1,ok=2,al=1|or=1,middle=2,"f3v.2,+P0|f3v.4,+P0","Same root as f100v [1,1] (Petersen",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-115,f42r,P,2,2,okol=1|otol=1,ok=1|ot=1,ol=2,middle=2,"f42r.10,+P0|f42r.20,+P0","crelpius(sp?) ranunculus, arum sagittarii",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-116,f42v,P,2,2,okor=1|otol=1,ok=1|ot=1,ol=1|or=1,middle=1|start=1,"f42v.2,+P0|f42v.16,=Pt",Plant ID: ranunculacea helleboria(?) (Mrs Voynich),not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-117,f53r,P,2,2,otol=2,ot=2,ol=2,middle=1|start=1,"f53r.5,+P0|f53r.9,+P0",Plant ID: Elecampane,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-118,f54r,P,2,2,okol=1|okor=1,ok=2,ol=1|or=1,middle=2,"f54r.10,+P0|f54r.11,+P0","Plant ID: Thistle, leaves of boneset",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-119,f5v,P,2,2,otol=2,ot=2,ol=2,middle=1|start=1,"f5v.4,+P0|f5v.6,+P0",Only one paragraph of text,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-120,f66r,P,2,2,okal=1|okar=1,ok=2,al=1|ar=1,middle=2,"f66r.51,+P0|f66r.65,+P0",Now normal text in paragraphs,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-121,f68v3,R,2,2,okal=1|okol=1,ok=2,al=1|ol=1,middle=2,"f68v3.9,@Ri|f68v3.10,@Ri",of point at outer circle. 4 are long (up to central circe) and 4 are short,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-122,f69v,C,2,1,okar=2,ok=2,ar=2,middle=2,"f69v.1,@Cc",28 words along radiating segments,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-123,f6v,P,2,2,okol=1|okor=1,ok=2,ol=1|or=1,middle=2,"f6v.5,+P0|f6v.20,+P0",21 lines in apparently two paragraphs,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-124,f70r2,P,2,2,okal=1|otal=1,ok=1|ot=1,al=2,end=1|middle=1,"f70r2.4,+P1|f70r2.10,+P1",Has 'b' in upper left corner.,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-125,f70v1,L,2,2,otal=2,ot=2,al=2,middle=1|start=1,"f70v1.11,&Lz|f70v1.16,&Lz","Nymph labels, outer ring:|Inner ring:",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-126,f71v,L,2,2,otar=2,ot=2,ar=2,start=2,"f71v.9,&Lz|f71v.16,&Lz","Nymph labels, outer ring:|Nymph labels, inner ring:",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-127,f72r1,C,2,1,otar=2,ot=2,ar=2,middle=2,"f72r1.12,@Cc","Nymph labels, outer ring",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-128,f72r2,C,2,2,okal=1|otar=1,ok=1|ot=1,al=1|ar=1,middle=2,"f72r2.6,@Cc|f72r2.22,@Cc",Top row of nymphs|label numbers are now one less than Petersen's nymph numbers,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-129,f72r3,C,2,1,okar=1|okor=1,ok=2,ar=1|or=1,middle=2,"f72r3.1,@Cc",Part of the start of C1 could be missing,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-130,f72v2,C,2,1,okal=1|otol=1,ok=1|ot=1,al=1|ol=1,middle=2,"f72v2.20,@Cc",Outer band of labels,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-131,f73v,L,2,2,okal=1|okol=1,ok=2,al=1|ol=1,single=2,"f73v.1,@Lz|f73v.27,&Lz",Top four nymphs with labels|Inner full circle of labels,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-132,f77v,P,2,2,okal=1|okol=1,ok=2,al=1|ol=1,end=1|middle=1,"f77v.12,+P0|f77v.42,+P0",the nymphs first,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-133,f82r,L,2,2,okal=1|okor=1,ok=2,al=1|or=1,single=2,"f82r.34,@Ln|f82r.36,@Ln",Label nrs on this page same as Petersen,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-134,f82r,P,2,2,okal=2,ok=2,al=2,middle=2,"f82r.6,+P0|f82r.12,+P0",Label nrs on this page same as Petersen,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-135,f83v,P,2,2,okol=1|otal=1,ok=1|ot=1,al=1|ol=1,middle=2,"f83v.25,+P0|f83v.30,+P0","Currier's  language B, hand 2",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-136,f88r,L,2,2,okol=1|otor=1,ok=1|ot=1,ol=1|or=1,single=1|start=1,"f88r.15,@Lf|f88r.24,@Lf",middle row of plants|bottom row of plants,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-137,f8v,P,2,2,okol=1|otol=1,ok=1|ot=1,ol=2,middle=2,"f8v.1,@P0|f8v.14,+P0",Plant ID: Silene,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-138,f93r,P,2,2,okor=1|otor=1,ok=1|ot=1,or=2,middle=2,"f93r.6,+P0|f93r.23,+P0","Currier's language A, hand 4",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-139,f95r1,P,2,2,okar=1|okol=1,ok=2,ar=1|ol=1,middle=2,"f95r1.7,+P0|f95r1.9,+P0","Currier's language B, hand 5",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-140,f9r,P,2,2,okor=1|otar=1,ok=1|ot=1,ar=1|or=1,middle=2,"f9r.3,+P0|f9r.4,+P0",last 3 words in last paragraph indented (signatures?),not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-141,fRos,P,2,2,okar=1|okol=1,ok=2,ar=1|ol=1,middle=1|start=1,"fRos.142,@Pb|fRos.144,+Pb",Following are counter-clockwise from 09:00,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-142,f100r,P,1,1,otal=1,ot=1,al=1,middle=1,"f100r.14,+P0","First row of labels, Petersen nr. in curly brackets",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-143,f102r1,P,1,1,okol=1,ok=1,ol=1,middle=1,"f102r1.14,+P0",Currier's language A,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-144,f102v2,L,1,1,okol=1,ok=1,ol=1,single=1,"f102v2.7,@Lf",Top rows of labels. Petersen ID in curly brackets.,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-145,f11r,P,1,1,otol=1,ot=1,ol=1,middle=1,"f11r.6,+P0",Plant ID: Silene Aca[ul|nt]is (O'N),not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-146,f16v,P,1,1,otor=1,ot=1,or=1,middle=1,"f16v.12,+P0",gathering  mark 2: 29,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-147,f17r,P,1,1,okor=1,ok=1,or=1,middle=1,"f17r.3,+P0",mull*av alhor lucz hev vellome o ***....,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-148,f1v,P,1,1,okol=1,ok=1,ol=1,middle=1,"f1v.9,+P0","Two paragraphs of text, plant cutting through middle",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-149,f27r,P,1,1,otal=1,ot=1,al=1,end=1,"f27r.12,+P0",Plant ID: (small one:) Asarium Europeum (Haselwurz),not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
