priority_score,folio,locus,locus_kind,prefix_family,distinct_suffixes,suffixes_present,axis_coverage,total_candidates,ar,al,or,ol,tokens,target_status_counts,line_positions,visual_contexts,annotated_tokens,visual_zones,object_nearby,annotation_confidence
34,f48v,"f48v.10,+P0",P,ch,3,al ol or,ao+rl,3,0,1,1,1,chdor chdyytchedal chtol,broad:3,middle,paragraph/text line,0,,,
34,f70r1,"f70r1.3,+Cc",C,standalone,2,al ar,rl,3,1,2,0,0,al ar,standalone:3,middle,circular text,0,,,
34,f72r1,"f72r1.12,@Cc",C,standalone,2,al ar,rl,3,1,2,0,0,al ar,standalone:3,middle,circular text,0,,,
34,f72r3,"f72r3.1,@Cc",C,standalone,2,al ar,rl,3,2,1,0,0,al ar,standalone:3,middle,circular text,0,,,
34,f72v2,"f72v2.33,@Cc",C,standalone,2,al ar,rl,3,1,2,0,0,al ar,standalone:3,middle,circular text,0,,,
34,f82r,"f82r.11,@P0",P,qo,3,al ol or,ao+rl,3,0,1,1,1,qopol qotal qotedor,broad:3,middle,paragraph/text line,0,,,
34,f83v,"f83v.20,+P0",P,ch,3,al ol or,ao+rl,3,0,1,1,1,cheal cheol cheor,broad:3,end middle,paragraph/text line,0,,,
34,f85r2,"f85r2.24,@Cc",C,standalone,2,ar or,ao,3,2,0,1,0,ar or,standalone:3,middle,circular text,0,,,
34,f89v1,"f89v1.10,+P0",P,ch,3,al ar or,ao+rl,3,1,1,1,0,chear cheeor chekal,broad:3,middle,paragraph/text line,0,,,
33,f106r,"f106r.28,+P0",P,standalone,2,ar ol,ao+rl,3,1,0,0,2,ar ol,standalone:3,middle,paragraph/text line,0,,,
33,f113v,"f113v.15,+P0",P,standalone,2,ar ol,ao+rl,3,2,0,0,1,ar ol,standalone:3,middle,paragraph/text line,0,,,
33,f114r,"f114r.23,+P0",P,standalone,2,al or,ao+rl,3,0,2,1,0,al or,standalone:3,middle start,paragraph/text line,0,,,
