priority_score,folio,locus,locus_kind,prefix_family,distinct_suffixes,suffixes_present,axis_coverage,total_candidates,ar,al,or,ol,tokens,target_status_counts,line_positions,visual_contexts,annotated_tokens,visual_zones,object_nearby,annotation_confidence
28,f104r,"f104r.15,+P0",P,ok,2,al ar,rl,2,1,1,0,0,okal okar,exact:2,middle,paragraph/text line,0,,,
28,f104r,"f104r.19,+P0",P,ot,2,ar or,ao,2,1,0,1,0,otar otor,exact:2,middle,paragraph/text line,0,,,
28,f104r,"f104r.8,+P0",P,qok,2,al ar,rl,2,1,1,0,0,qokal qokar,exact:2,middle,paragraph/text line,0,,,
28,f104v,"f104v.4,+P0",P,ch,2,ar ol,ao+rl,2,1,0,0,1,chokar chol,broad:1; exact:1,middle,paragraph/text line,0,,,
28,f105v,"f105v.12,+P0",P,ot,2,al ar,rl,2,1,1,0,0,otal otar,exact:2,middle,paragraph/text line,0,,,
28,f105v,"f105v.26,+P0",P,ot,2,al ar,rl,2,1,1,0,0,otal otar,exact:2,middle,paragraph/text line,0,,,
28,f106v,"f106v.23,+P0",P,ch,2,ol or,rl,2,0,0,1,1,chol chor,exact:2,middle,paragraph/text line,0,,,
28,f106v,"f106v.28,+P0",P,qok,2,ar or,ao,2,1,0,1,0,qokar qokor,exact:2,middle,paragraph/text line,0,,,
28,f106v,"f106v.7,+P0",P,d,2,al ar,rl,2,1,1,0,0,dal dar,exact:2,middle,paragraph/text line,0,,,
28,f107r,"f107r.36,+P0",P,d,2,al ar,rl,2,1,1,0,0,dal dar,exact:2,middle start,paragraph/text line,0,,,
28,f107v,"f107v.2,+P0",P,ot,2,al ar,rl,2,1,1,0,0,otal otar,exact:2,middle,paragraph/text line,0,,,
28,f107v,"f107v.22,+P0",P,ch,2,ar ol,ao+rl,2,1,0,0,1,chdar chol,broad:1; exact:1,end middle,paragraph/text line,0,,,
28,f107v,"f107v.23,+P0",P,ot,2,al ar,rl,2,1,1,0,0,otal otar,exact:2,middle,paragraph/text line,0,,,
28,f108r,"f108r.14,+P0",P,qok,2,al ar,rl,2,1,1,0,0,qokal qokar,exact:2,middle,paragraph/text line,0,,,
28,f108r,"f108r.14,+P0",P,sh,2,ol or,rl,2,0,0,1,1,shol shor,exact:2,middle,paragraph/text line,0,,,
28,f108r,"f108r.19,+P0",P,ok,2,ar ol,ao+rl,2,1,0,0,1,okeedar okol,broad:1; exact:1,middle,paragraph/text line,0,,,
28,f108r,"f108r.33,+P0",P,ok,2,ar ol,ao+rl,2,1,0,0,1,okar okeol,broad:1; exact:1,middle,paragraph/text line,0,,,
28,f108v,"f108v.36,+P0",P,ch,2,al or,ao+rl,3,0,2,1,0,chal chor,broad:2; exact:1,middle,paragraph/text line,0,,,
28,f108v,"f108v.5,+P0",P,qok,2,al ar,rl,2,1,1,0,0,qokal qokar,exact:2,middle,paragraph/text line,0,,,
28,f10r,"f10r.8,+P0",P,ch,2,ol or,rl,3,0,0,1,2,chol cholorchol chor,broad:1; exact:2,middle,paragraph/text line,0,,,
28,f112r,"f112r.40,+P0",P,ok,2,al ar,rl,2,1,1,0,0,okal okar,exact:2,middle,paragraph/text line,0,,,
28,f112r,"f112r.5,+P0",P,ot,2,al ar,rl,2,1,1,0,0,otal otar,exact:2,middle,paragraph/text line,0,,,
28,f112v,"f112v.38,+P0",P,ch,2,ar ol,ao+rl,2,1,0,0,1,chedar chol,broad:1; exact:1,middle,paragraph/text line,0,,,
28,f112v,"f112v.44,+P0",P,ot,2,ar ol,ao+rl,2,1,0,0,1,otedar otol,broad:1; exact:1,middle,paragraph/text line,0,,,
28,f113r,"f113r.17,+P0",P,ch,2,ar ol,ao+rl,4,3,0,0,1,char chokar chol chotar,broad:3; exact:1,middle,paragraph/text line,0,,,
28,f113r,"f113r.17,+P0",P,sh,2,ar ol,ao+rl,2,1,0,0,1,shar shol,broad:1; exact:1,middle,paragraph/text line,0,,,
28,f113r,"f113r.30,+P0",P,ot,2,ar ol,ao+rl,2,1,0,0,1,otar oteol,broad:1; exact:1,middle,paragraph/text line,0,,,
28,f113v,"f113v.11,+P0",P,ot,2,al ar,rl,2,1,1,0,0,otal otar,exact:2,middle,paragraph/text line,0,,,
28,f113v,"f113v.19,+P0",P,ok,2,al ar,rl,2,1,1,0,0,okal okar,exact:2,middle,paragraph/text line,0,,,
28,f113v,"f113v.8,+P0",P,ot,2,ar or,ao,2,1,0,1,0,otar otor,exact:2,middle,paragraph/text line,0,,,
28,f114r,"f114r.16,+P0",P,ot,2,al ol,ao,2,0,1,0,1,otal otol,exact:2,middle,paragraph/text line,0,,,
28,f114r,"f114r.19,+P0",P,d,2,ar ol,ao+rl,2,1,0,0,1,dar dol,broad:1; exact:1,middle,paragraph/text line,0,,,
28,f114r,"f114r.36,+P0",P,qok,2,al ar,rl,2,1,1,0,0,qokal qokar,exact:2,end middle,paragraph/text line,0,,,
28,f116r,"f116r.16,+P0",P,ot,2,al ar,rl,3,2,1,0,0,otal otar otarar,broad:1; exact:2,middle,paragraph/text line,0,,,
28,f116r,"f116r.22,+P0",P,d,2,ar ol,ao+rl,2,1,0,0,1,dar dol,broad:1; exact:1,middle start,paragraph/text line,0,,,
28,f13v,"f13v.6,+P0",P,sh,2,ol or,rl,2,0,0,1,1,shol shor,exact:2,middle,paragraph/text line,0,,,
28,f15v,"f15v.12,+P0",P,ch,2,ol or,rl,2,0,0,1,1,chol chor,exact:2,end middle,paragraph/text line,0,,,
28,f16v,"f16v.5,+P0",P,ch,2,ol or,rl,2,0,0,1,1,chol chor,exact:2,middle,paragraph/text line,0,,,
28,f16v,"f16v.6,+P0",P,ch,2,ar ol,ao+rl,2,1,0,0,1,chkar chol,broad:1; exact:1,middle,paragraph/text line,0,,,
28,f16v,"f16v.9,+P0",P,ch,2,ol or,rl,2,0,0,1,1,chol chor,exact:2,middle,paragraph/text line,0,,,
28,f17r,"f17r.3,+P0",P,ch,2,ol or,rl,2,0,0,1,1,chol chor,exact:2,middle start,paragraph/text line,0,,,
28,f17v,"f17v.13,+P0",P,ch,2,ol or,rl,3,0,0,1,2,chkor chol,broad:1; exact:2,middle,paragraph/text line,0,,,
28,f17v,"f17v.2,+P0",P,ok,2,al ol,ao,2,0,1,0,1,okal okol,exact:2,end middle,paragraph/text line,0,,,
28,f18r,"f18r.1,@P0",P,d,2,al ar,rl,2,1,1,0,0,dal dar,exact:2,end middle,paragraph/text line,0,,,
28,f19r,"f19r.2,+P0",P,ch,2,ol or,rl,2,0,0,1,1,chol chor,exact:2,middle,paragraph/text line,0,,,
28,f19v,"f19v.9,+P0",P,ch,2,ol or,rl,2,0,0,1,1,chol chor,exact:2,middle,paragraph/text line,0,,,
28,f20v,"f20v.10,+P0",P,ch,2,ol or,rl,2,0,0,1,1,chol chor,exact:2,middle,paragraph/text line,0,,,
28,f20v,"f20v.5,+P0",P,sh,2,ol or,rl,2,0,0,1,1,shol shor,exact:2,middle,paragraph/text line,0,,,
28,f23v,"f23v.9,+P0",P,d,2,al ar,rl,2,1,1,0,0,dal dar,exact:2,middle,paragraph/text line,0,,,
28,f24v,"f24v.9,+P0",P,ch,2,ol or,rl,2,0,0,1,1,chol chor,exact:2,middle,paragraph/text line,0,,,
28,f27r,"f27r.6,+P0",P,ch,2,ol or,rl,2,0,0,1,1,chol chor,exact:2,middle,paragraph/text line,0,,,
28,f27v,"f27v.5,+P0",P,d,2,ar ol,ao+rl,2,1,0,0,1,dar dol,broad:1; exact:1,end middle,paragraph/text line,0,,,
28,f28r,"f28r.7,+P0",P,d,2,ar ol,ao+rl,2,1,0,0,1,dar dol,broad:1; exact:1,end middle,paragraph/text line,0,,,
28,f28v,"f28v.3,+P0",P,ch,2,ol or,rl,2,0,0,1,1,chol chor,exact:2,middle start,paragraph/text line,0,,,
28,f2r,"f2r.11,+P0",P,d,2,al or,ao+rl,2,0,1,1,0,dal dalor,broad:1; exact:1,middle,paragraph/text line,0,,,
28,f2v,"f2v.3,+P0",P,ch,2,ol or,rl,2,0,0,1,1,chol chor,exact:2,middle,paragraph/text line,0,,,
28,f2v,"f2v.8,+P0",P,ch,2,ol or,rl,3,0,0,1,2,cheol chol chor,broad:1; exact:2,middle,paragraph/text line,0,,,
28,f31v,"f31v.7,+P0",P,ch,2,ar ol,ao+rl,2,1,0,0,1,cheokar chol,broad:1; exact:1,middle,paragraph/text line,0,,,
28,f32r,"f32r.3,+P0",P,ch,2,ol or,rl,2,0,0,1,1,chol chor,exact:2,middle,paragraph/text line,0,,,
28,f32v,"f32v.10,+P0",P,ch,2,ol or,rl,2,0,0,1,1,chol chor,exact:2,middle,paragraph/text line,0,,,
28,f33r,"f33r.2,+P0",P,ot,2,ar or,ao,2,1,0,1,0,otar otor,exact:2,middle,paragraph/text line,0,,,
28,f37r,"f37r.6,+P0",P,sh,2,ol or,rl,2,0,0,1,1,shol shor,exact:2,middle start,paragraph/text line,0,,,
28,f3r,"f3r.4,+P0",P,ch,2,al or,ao+rl,2,0,1,1,0,chal chor,broad:1; exact:1,middle,paragraph/text line,0,,,
28,f3r,"f3r.8,+P0",P,ch,2,ol or,rl,2,0,0,1,1,chol chor,exact:2,middle,paragraph/text line,0,,,
28,f3v,"f3v.2,+P0",P,d,2,ar ol,ao+rl,2,1,0,0,1,dar dol,broad:1; exact:1,end middle,paragraph/text line,0,,,
28,f40r,"f40r.3,+P0",P,qok,2,al ar,rl,2,1,1,0,0,qokal qokar,exact:2,middle,paragraph/text line,0,,,
28,f42r,"f42r.20,+P0",P,ch,2,al ol,ao,3,0,1,0,2,chal chol,broad:1; exact:2,end middle,paragraph/text line,0,,,
28,f42r,"f42r.8,+P0",P,sh,2,ol or,rl,2,0,0,1,1,shol shor,exact:2,middle,paragraph/text line,0,,,
28,f45r,"f45r.10,+P0",P,d,2,al or,ao+rl,2,0,1,1,0,dal dalor,broad:1; exact:1,end middle,paragraph/text line,0,,,
28,f45v,"f45v.5,+P0",P,d,2,ar ol,ao+rl,2,1,0,0,1,dar dol,broad:1; exact:1,middle,paragraph/text line,0,,,
28,f47v,"f47v.10,+P0",P,d,2,ar ol,ao+rl,2,1,0,0,1,dar dychol,broad:1; exact:1,end middle,paragraph/text line,0,,,
28,f49r,"f49r.1,@P0",P,sh,2,ol or,rl,3,0,0,2,1,shol shor shorpchor,broad:1; exact:2,middle,paragraph/text line,0,,,
28,f49v,"f49v.50,=P0",P,ch,2,ol or,rl,2,0,0,1,1,chol chor,exact:2,middle start,paragraph/text line,0,,,
28,f50v,"f50v.6,+P0",P,ok,2,al ar,rl,2,1,1,0,0,okal okar,exact:2,middle,paragraph/text line,0,,,
28,f52v,"f52v.2,+P0",P,ch,2,ol or,rl,2,0,0,1,1,chol chor,exact:2,middle,paragraph/text line,0,,,
28,f54r,"f54r.11,+P0",P,ch,2,ol or,rl,2,0,0,1,1,chol chor,exact:2,middle,paragraph/text line,0,,,
28,f54r,"f54r.9,+P0",P,ch,2,ol or,rl,2,0,0,1,1,chol chor,exact:2,middle,paragraph/text line,0,,,
28,f56r,"f56r.4,+P0",P,ch,2,ar or,ao,5,1,0,4,0,chkor chokor chor chyokar,broad:3; exact:2,middle,paragraph/text line,0,,,
28,f56v,"f56v.1,@P0",P,sh,2,ol or,rl,2,0,0,1,1,shol shor,exact:2,middle,paragraph/text line,0,,,
28,f56v,"f56v.14,+P0",P,ch,2,ol or,rl,3,0,0,1,2,chol chotor,broad:1; exact:2,end middle start,paragraph/text line,0,,,
28,f58r,"f58r.10,+P0",P,ot,2,al ar,rl,2,1,1,0,0,otal otar,exact:2,middle,paragraph/text line,0,,,
28,f58r,"f58r.29,+P0",P,ch,2,al or,ao+rl,4,0,2,2,0,chal cheal cheor chor,broad:3; exact:1,middle,paragraph/text line,0,,,
28,f58r,"f58r.4,+P0",P,d,2,al or,ao+rl,2,0,1,1,0,dal dshor,broad:1; exact:1,middle start,paragraph/text line,0,,,
28,f58r,"f58r.6,+P0",P,ot,2,al or,ao+rl,2,0,1,1,0,otal oteor,broad:1; exact:1,middle,paragraph/text line,0,,,
28,f58v,"f58v.28,+P0",P,ok,2,al or,ao+rl,2,0,1,1,0,okal okeor,broad:1; exact:1,middle,paragraph/text line,0,,,
28,f58v,"f58v.4,+P0",P,ok,2,al ar,rl,2,1,1,0,0,okal okar,exact:2,end middle,paragraph/text line,0,,,
28,f5v,"f5v.5,+P0",P,ch,2,ol or,rl,3,0,0,1,2,cheotol chol chor,broad:1; exact:2,middle,paragraph/text line,0,,,
28,f66r,"f66r.60,+P0",P,sh,2,al or,ao+rl,2,0,1,1,0,sheodal shor,broad:1; exact:1,middle start,paragraph/text line,0,,,
28,f66v,"f66v.1,@P0",P,d,2,al or,ao+rl,2,0,1,1,0,dal dor,broad:1; exact:1,middle,paragraph/text line,0,,,
28,f66v,"f66v.12,+P0",P,d,2,al ar,rl,2,1,1,0,0,dal dar,exact:2,middle,paragraph/text line,0,,,
28,f66v,"f66v.3,+P0",P,d,2,al ar,rl,2,1,1,0,0,dal dar,exact:2,middle,paragraph/text line,0,,,
28,f68r2,"f68r2.4,+P0",P,ch,2,al or,ao+rl,2,0,1,1,0,cheoal chor,broad:1; exact:1,middle start,paragraph/text line,0,,,
28,f68v3,"f68v3.2,+P0",P,ch,2,al or,ao+rl,2,0,1,1,0,chal chor,broad:1; exact:1,middle,paragraph/text line,0,,,
28,f75r,"f75r.32,+P0",P,d,2,al ar,rl,2,1,1,0,0,dal dar,exact:2,middle,paragraph/text line,0,,,
28,f75r,"f75r.34,+P0",P,ok,2,al ar,rl,2,1,1,0,0,okal okar,exact:2,middle,paragraph/text line,0,,,
28,f75r,"f75r.40,+P0",P,d,2,al ar,rl,2,1,1,0,0,dal dar,exact:2,middle start,paragraph/text line,0,,,
28,f76v,"f76v.25,+P0",P,d,2,al or,ao+rl,2,0,1,1,0,dal dor,broad:1; exact:1,middle,paragraph/text line,0,,,
28,f77r,"f77r.25,+P0",P,d,2,al or,ao+rl,2,0,1,1,0,dal daror,broad:1; exact:1,end middle,paragraph/text line,0,,,
28,f77r,"f77r.25,+P0",P,qok,2,al ar,rl,2,1,1,0,0,qokal qokar,exact:2,middle,paragraph/text line,0,,,
28,f77v,"f77v.11,+P0",P,d,2,al ol,ao,4,0,3,0,1,dal dol dsheedal,broad:2; exact:2,middle,paragraph/text line,0,,,
28,f77v,"f77v.13,+P0",P,d,2,al ar,rl,2,1,1,0,0,dal dar,exact:2,end middle,paragraph/text line,0,,,
28,f77v,"f77v.33,+P0",P,d,2,al ar,rl,2,1,1,0,0,dal dar,exact:2,middle,paragraph/text line,0,,,
28,f77v,"f77v.39,+P0",P,d,2,ar ol,ao+rl,2,1,0,0,1,dar dcheol,broad:1; exact:1,end start,paragraph/text line,0,,,
28,f77v,"f77v.6,@P0",P,d,2,al ar,rl,2,1,1,0,0,dal dar,exact:2,end middle,paragraph/text line,0,,,
28,f78r,"f78r.31,+P0",P,ot,2,al ar,rl,2,1,1,0,0,otal otar,exact:2,middle,paragraph/text line,0,,,
28,f78v,"f78v.5,+P0",P,d,2,al ar,rl,2,1,1,0,0,dal dar,exact:2,middle,paragraph/text line,0,,,
28,f78v,"f78v.7,+P0",P,ot,2,ar or,ao,2,1,0,1,0,otar otor,exact:2,middle start,paragraph/text line,0,,,
28,f79r,"f79r.5,+P0",P,ch,2,ar ol,ao+rl,3,1,0,0,2,chear cheol chol,broad:2; exact:1,middle,paragraph/text line,0,,,
28,f79r,"f79r.9,+P0",P,qok,2,al ar,rl,2,1,1,0,0,qokal qokar,exact:2,middle,paragraph/text line,0,,,
28,f80r,"f80r.17,+P0",P,qok,2,al ar,rl,2,1,1,0,0,qokal qokar,exact:2,middle,paragraph/text line,0,,,
28,f80r,"f80r.25,+P0",P,d,2,ar ol,ao+rl,2,1,0,0,1,dar dol,broad:1; exact:1,middle start,paragraph/text line,0,,,
28,f81v,"f81v.1,@P0",P,d,2,al ar,rl,2,1,1,0,0,dal dar,exact:2,middle,paragraph/text line,0,,,
28,f82v,"f82v.11,+P0",P,d,2,al ar,rl,2,1,1,0,0,dal dar,exact:2,middle,paragraph/text line,0,,,
28,f82v,"f82v.12,+P0",P,d,2,al ar,rl,2,1,1,0,0,dal dar,exact:2,middle start,paragraph/text line,0,,,
28,f82v,"f82v.18,+P0",P,qok,2,al ar,rl,2,1,1,0,0,qokal qokar,exact:2,middle,paragraph/text line,0,,,
28,f82v,"f82v.26,+P0",P,qok,2,al ol,ao,2,0,1,0,1,qokal qokol,exact:2,middle,paragraph/text line,0,,,
28,f83v,"f83v.2,+P0",P,d,2,ar ol,ao+rl,2,1,0,0,1,dar dol,broad:1; exact:1,end start,paragraph/text line,0,,,
28,f83v,"f83v.22,+P0",P,qok,2,al ar,rl,2,1,1,0,0,qokal qokar,exact:2,middle,paragraph/text line,0,,,
28,f83v,"f83v.7,+P0",P,qok,2,al ol,ao,3,0,2,0,1,qokal qokalol,broad:1; exact:2,end middle,paragraph/text line,0,,,
28,f85r1,"f85r1.11,+P0",P,ch,2,al or,ao+rl,2,0,1,1,0,chdal chor,broad:1; exact:1,middle,paragraph/text line,0,,,
28,f85r1,"f85r1.11,+P0",P,d,2,al or,ao+rl,2,0,1,1,0,dal dolor,broad:1; exact:1,middle,paragraph/text line,0,,,
28,f85r1,"f85r1.31,+P0",P,d,2,al ar,rl,3,2,1,0,0,dar dchdal,broad:1; exact:2,middle,paragraph/text line,0,,,
28,f85r1,"f85r1.34,+P0",P,qok,2,ar or,ao,2,1,0,1,0,qokar qokor,exact:2,middle,paragraph/text line,0,,,
28,f86v3,"f86v3.34,+Pb",P,qok,2,al ar,rl,2,1,1,0,0,qokal qokar,exact:2,middle,paragraph/text line,0,,,
28,f86v4,"f86v4.8,+P0",P,ok,2,al ol,ao,2,0,1,0,1,okal okol,exact:2,middle,paragraph/text line,0,,,
28,f86v5,"f86v5.13,+P0",P,ot,2,al ar,rl,2,1,1,0,0,otal otar,exact:2,middle,paragraph/text line,0,,,
28,f86v5,"f86v5.29,+P0",P,qok,2,al ar,rl,2,1,1,0,0,qokal qokar,exact:2,middle,paragraph/text line,0,,,
28,f86v5,"f86v5.5,+P0",P,ot,2,al ol,ao,2,0,1,0,1,otal otol,exact:2,middle,paragraph/text line,0,,,
28,f86v6,"f86v6.14,+P0",P,ok,2,al ar,rl,2,1,1,0,0,okal okar,exact:2,middle,paragraph/text line,0,,,
28,f86v6,"f86v6.18,+P0",P,d,2,ar ol,ao+rl,2,1,0,0,1,dalol dar,broad:1; exact:1,middle,paragraph/text line,0,,,
28,f86v6,"f86v6.3,+P0",P,ch,2,al or,ao+rl,3,0,2,1,0,chdal chor,broad:2; exact:1,middle,paragraph/text line,0,,,
28,f86v6,"f86v6.39,+P0",P,d,2,al ar,rl,2,1,1,0,0,dal dar,exact:2,middle,paragraph/text line,0,,,
28,f86v6,"f86v6.4,+P0",P,sh,2,al or,ao+rl,2,0,1,1,0,shdal shor,broad:1; exact:1,middle,paragraph/text line,0,,,
28,f86v6,"f86v6.5,+P0",P,ch,2,ar ol,ao+rl,2,1,0,0,1,chear chol,broad:1; exact:1,middle,paragraph/text line,0,,,
28,f88r,"f88r.31,+P0",P,ch,2,ar ol,ao+rl,2,1,0,0,1,chear chol,broad:1; exact:1,middle,paragraph/text line,0,,,
28,f88r,"f88r.31,+P0",P,d,2,ar ol,ao+rl,2,1,0,0,1,dar dol,broad:1; exact:1,middle start,paragraph/text line,0,,,
28,f89r2,"f89r2.7,+P0",P,ch,2,al or,ao+rl,2,0,1,1,0,cheodal chor,broad:1; exact:1,middle,paragraph/text line,0,,,
28,f8r,"f8r.17,+P0",P,ch,2,ar ol,ao+rl,2,1,0,0,1,char chol,broad:1; exact:1,middle start,paragraph/text line,0,,,
28,f8v,"f8v.2,+P0",P,sh,2,al or,ao+rl,2,0,1,1,0,shcthal shor,broad:1; exact:1,middle start,paragraph/text line,0,,,
28,f93r,"f93r.7,+P0",P,sh,2,ol or,rl,2,0,0,1,1,shol shor,exact:2,middle start,paragraph/text line,0,,,
28,f94r,"f94r.2,+P0",P,ok,2,al ar,rl,2,1,1,0,0,okal okar,exact:2,middle,paragraph/text line,0,,,
28,f95v1,"f95v1.2,+P0",P,ot,2,al ar,rl,2,1,1,0,0,otal otar,exact:2,middle,paragraph/text line,0,,,
28,f95v2,"f95v2.3,+P0",P,ok,2,al ar,rl,2,1,1,0,0,okal okar,exact:2,middle,paragraph/text line,0,,,
28,f99r,"f99r.16,+P0",P,sh,2,ol or,rl,4,0,0,2,2,sheol sholkol shor,broad:2; exact:2,middle,paragraph/text line,0,,,
28,f99r,"f99r.30,+P0",P,qok,2,al ol,ao,2,0,1,0,1,qokal qokol,exact:2,middle,paragraph/text line,0,,,
28,f99v,"f99v.42,+P0",P,ok,2,al ol,ao,2,0,1,0,1,okal okol,exact:2,middle,paragraph/text line,0,,,
28,f9r,"f9r.7,+P0",P,ch,2,ar ol,ao+rl,2,1,0,0,1,chol chykychodar,broad:1; exact:1,middle,paragraph/text line,0,,,
28,f9v,"f9v.1,@P0",P,sh,2,ol or,rl,2,0,0,1,1,shol shor,exact:2,middle,paragraph/text line,0,,,
28,f9v,"f9v.2,+P0",P,ch,2,ol or,rl,2,0,0,1,1,chol chor,exact:2,middle,paragraph/text line,0,,,
26,f101v,"f101v.22,+P0",P,standalone,2,ol or,rl,2,0,0,1,1,ol or,standalone:2,middle,paragraph/text line,0,,,
26,f102v2,"f102v2.22,+P0",P,standalone,2,ol or,rl,2,0,0,1,1,ol or,standalone:2,middle,paragraph/text line,0,,,
26,f102v2,"f102v2.37,+P0",P,standalone,2,ar or,ao,2,1,0,1,0,ar or,standalone:2,middle,paragraph/text line,0,,,
26,f103v,"f103v.45,+P0",P,standalone,2,ol or,rl,2,0,0,1,1,ol or,standalone:2,middle,paragraph/text line,0,,,
26,f104v,"f104v.32,+P0",P,standalone,2,ar or,ao,2,1,0,1,0,ar or,standalone:2,middle,paragraph/text line,0,,,
26,f105r,"f105r.31,+P0",P,standalone,2,ar or,ao,2,1,0,1,0,ar or,standalone:2,middle,paragraph/text line,0,,,
26,f105r,"f105r.33,+P0",P,standalone,2,ar or,ao,2,1,0,1,0,ar or,standalone:2,middle,paragraph/text line,0,,,
26,f105v,"f105v.28,+P0",P,standalone,2,al ar,rl,2,1,1,0,0,al ar,standalone:2,middle,paragraph/text line,0,,,
26,f105v,"f105v.6,+P0",P,standalone,2,al ar,rl,2,1,1,0,0,al ar,standalone:2,middle,paragraph/text line,0,,,
26,f106v,"f106v.2,+P0",P,standalone,2,al ar,rl,2,1,1,0,0,al ar,standalone:2,middle,paragraph/text line,0,,,
26,f106v,"f106v.23,+P0",P,standalone,2,ol or,rl,2,0,0,1,1,ol or,standalone:2,middle start,paragraph/text line,0,,,
26,f106v,"f106v.34,+P0",P,standalone,2,al ar,rl,2,1,1,0,0,al ar,standalone:2,middle,paragraph/text line,0,,,
26,f107r,"f107r.35,+P0",P,standalone,2,al ol,ao,2,0,1,0,1,al ol,standalone:2,middle,paragraph/text line,0,,,
26,f107v,"f107v.26,+P0",P,standalone,2,al ar,rl,2,1,1,0,0,al ar,standalone:2,middle,paragraph/text line,0,,,
26,f108v,"f108v.25,+P0",P,standalone,2,al ol,ao,2,0,1,0,1,al ol,standalone:2,end middle,paragraph/text line,0,,,
26,f108v,"f108v.26,+P0",P,standalone,2,ar or,ao,2,1,0,1,0,ar or,standalone:2,middle,paragraph/text line,0,,,
26,f108v,"f108v.27,+P0",P,standalone,2,al ar,rl,2,1,1,0,0,al ar,standalone:2,middle,paragraph/text line,0,,,
26,f111r,"f111r.21,+P0",P,standalone,2,al ar,rl,2,1,1,0,0,al ar,standalone:2,middle,paragraph/text line,0,,,
26,f111r,"f111r.29,+P0",P,standalone,2,al ar,rl,2,1,1,0,0,al ar,standalone:2,middle,paragraph/text line,0,,,
26,f112v,"f112v.19,+P0",P,standalone,2,al ar,rl,2,1,1,0,0,al ar,standalone:2,middle,paragraph/text line,0,,,
26,f112v,"f112v.38,+P0",P,standalone,2,al ar,rl,2,1,1,0,0,al ar,standalone:2,middle,paragraph/text line,0,,,
26,f113r,"f113r.4,+P0",P,standalone,2,al ar,rl,2,1,1,0,0,al ar,standalone:2,middle,paragraph/text line,0,,,
26,f113v,"f113v.42,+P0",P,standalone,2,ol or,rl,2,0,0,1,1,ol or,standalone:2,end middle,paragraph/text line,0,,,
26,f113v,"f113v.5,+P0",P,standalone,2,al ar,rl,2,1,1,0,0,al ar,standalone:2,end middle,paragraph/text line,0,,,
26,f113v,"f113v.7,+P0",P,standalone,2,al ar,rl,2,1,1,0,0,al ar,standalone:2,middle,paragraph/text line,0,,,
26,f114r,"f114r.37,+P0",P,standalone,2,ol or,rl,2,0,0,1,1,ol or,standalone:2,middle,paragraph/text line,0,,,
26,f114r,"f114r.38,+P0",P,standalone,2,al ar,rl,2,1,1,0,0,al ar,standalone:2,middle,paragraph/text line,0,,,
26,f115r,"f115r.35,+P0",P,standalone,2,al ar,rl,2,1,1,0,0,al ar,standalone:2,middle,paragraph/text line,0,,,
26,f115r,"f115r.8,+P0",P,standalone,2,al ar,rl,2,1,1,0,0,al ar,standalone:2,middle,paragraph/text line,0,,,
26,f115v,"f115v.26,+P0",P,standalone,2,al ar,rl,2,1,1,0,0,al ar,standalone:2,end middle,paragraph/text line,0,,,
26,f116r,"f116r.31,+P0",P,standalone,2,al ar,rl,2,1,1,0,0,al ar,standalone:2,middle,paragraph/text line,0,,,
26,f116r,"f116r.43,+P0",P,standalone,2,al ar,rl,2,1,1,0,0,al ar,standalone:2,middle,paragraph/text line,0,,,
26,f116r,"f116r.49,+P0",P,standalone,2,ol or,rl,2,0,0,1,1,ol or,standalone:2,middle,paragraph/text line,0,,,
26,f17v,"f17v.18,+P0",P,standalone,2,ol or,rl,2,0,0,1,1,ol or,standalone:2,middle,paragraph/text line,0,,,
26,f23v,"f23v.1,@P0",P,standalone,2,al ol,ao,2,0,1,0,1,al ol,standalone:2,middle,paragraph/text line,0,,,
26,f33r,"f33r.5,+P0",P,standalone,2,ol or,rl,2,0,0,1,1,ol or,standalone:2,middle,paragraph/text line,0,,,
26,f33r,"f33r.7,+P0",P,standalone,2,ar or,ao,2,1,0,1,0,ar or,standalone:2,middle,paragraph/text line,0,,,
26,f34v,"f34v.3,+P0",P,standalone,2,ol or,rl,2,0,0,1,1,ol or,standalone:2,middle,paragraph/text line,0,,,
26,f34v,"f34v.8,+P0",P,standalone,2,ar or,ao,2,1,0,1,0,ar or,standalone:2,middle,paragraph/text line,0,,,
26,f39r,"f39r.7,+P0",P,standalone,2,al ar,rl,2,1,1,0,0,al ar,standalone:2,middle,paragraph/text line,0,,,
26,f39v,"f39v.9,+P0",P,standalone,2,ar or,ao,2,1,0,1,0,ar or,standalone:2,end middle,paragraph/text line,0,,,
26,f40r,"f40r.4,+P0",P,standalone,2,ol or,rl,2,0,0,1,1,ol or,standalone:2,end start,paragraph/text line,0,,,
26,f41v,"f41v.6,+P0",P,standalone,2,ol or,rl,2,0,0,1,1,ol or,standalone:2,middle,paragraph/text line,0,,,
26,f43v,"f43v.11,+P0",P,standalone,2,ar or,ao,2,1,0,1,0,ar or,standalone:2,middle,paragraph/text line,0,,,
26,f48r,"f48r.7,+P0",P,standalone,2,al ar,rl,2,1,1,0,0,al ar,standalone:2,middle,paragraph/text line,0,,,
26,f49r,"f49r.6,+P0",P,standalone,2,ol or,rl,2,0,0,1,1,ol or,standalone:2,middle start,paragraph/text line,0,,,
26,f50r,"f50r.4,+P0",P,standalone,2,ar or,ao,2,1,0,1,0,ar or,standalone:2,middle,paragraph/text line,0,,,
26,f50v,"f50v.4,+P0",P,standalone,2,ol or,rl,2,0,0,1,1,ol or,standalone:2,end middle,paragraph/text line,0,,,
