family,total,chol,chor,dal,dar,odal,odar,okal,okar,okol,okor,otal,otar,otol,otor,qokal,qokar,qokol,qokor,shol,shor
ok,394,,,,,,,152,133,75,34,,,,,,,,,,
ot,392,,,,,,,,,,,129,147,79,37,,,,,,
qok,468,,,,,,,,,,,,,,,191,152,96,29,,
ch,583,384,199,,,,,,,,,,,,,,,,,,
sh,262,,,,,,,,,,,,,,,,,,,173,89
d,541,,,235,306,,,,,,,,,,,,,,,,
od,42,,,,,19,23,,,,,,,,,,,,,,
