operator,n_ch,n_sh,pct_sh,semantic_guardrail
ok,920,206,18.29,rota54_nucleus_context_not_decipherment
ot,774,124,13.81,rota54_nucleus_context_not_decipherment
none,8653,3917,31.16,rota54_nucleus_context_not_decipherment
