score,folio,locus,locus_kind,visual_context_from_locus,token,target_status,prefix,suffix,line_position,previous_token,next_token,line_tokens,image_checked,image_file_or_url,ink_color,visual_zone,ring,sector,radius,object_nearby,visual_notes,annotation_confidence
12,f68v3,"f68v3.5,@Cc",C,circular text,okol,exact,ok,ol,middle,ol,olsey,oky otol ees choty cheda s r otchdy s ar oekaiin oteol dar cheo dais qoeeo kaiin okchey dal cheky ykos y q akeg s ol ay ykoees yty dy dy chody otol ol ees oty dar qotay otoy chey kodar dar sheody shees daiin oteeoaly oteeosol ol okol olsey tol cheol okeey choekcheey okchy qokchshy dchol chshek,,,,,,,,,,
12,f68v3,"f68v3.5,@Cc",C,circular text,otol,exact,ot,ol,middle,oky,ees,oky otol ees choty cheda s r otchdy s ar oekaiin oteol dar cheo dais qoeeo kaiin okchey dal cheky ykos y q akeg s ol ay ykoees yty dy dy chody otol ol ees oty dar qotay otoy chey kodar dar sheody shees daiin oteeoaly oteeosol ol okol olsey tol cheol okeey choekcheey okchy qokchshy dchol chshek,,,,,,,,,,
12,f70r1,"f70r1.2,@Cc",C,circular text,okol,exact,ok,ol,middle,dy,okeey,oteody choekeeos alair dy okol okeey dasy ot a o rsheod okchody oteos okes okeys e i y okchol sairody o chopcheopchy chol air shekchy choteody oteeshs opcheody otol choky chody chotey sheal ar ykeody oteey chedaiin chotar soly,,,,,,,,,,
12,f70r1,"f70r1.2,@Cc",C,circular text,otol,exact,ot,ol,middle,opcheody,choky,oteody choekeeos alair dy okol okeey dasy ot a o rsheod okchody oteos okes okeys e i y okchol sairody o chopcheopchy chol air shekchy choteody oteeshs opcheody otol choky chody chotey sheal ar ykeody oteey chedaiin chotar soly,,,,,,,,,,
12,f70r1,"f70r1.3,+Cc",C,circular text,okal,exact,ok,al,middle,chodalar,chear,okeodar chy oteody tochady okchody ytar ytory okeol choly yk y okchedy chkal ofchon qokal opolaiin okeos oty dal cheokeey dal cheo al oteeoky chety chodalar okal chear aly oteos ar os al okolair dy,,,,,,,,,,
12,f70r1,"f70r1.3,+Cc",C,circular text,qokal,exact,qok,al,middle,ofchon,opolaiin,okeodar chy oteody tochady okchody ytar ytory okeol choly yk y okchedy chkal ofchon qokal opolaiin okeos oty dal cheokeey dal cheo al oteeoky chety chodalar okal chear aly oteos ar os al okolair dy,,,,,,,,,,
12,f70r2,"f70r2.15,@Cc",C,circular text,dar,exact,d,ar,end,ar,,sal air am shedy chokal cho ikh y shokeey choky chol dy okeeal o teedy dgr dair aiin okees okeear ar alekeey ar kam oteoodalry chekeoar chokey dar dcheoky otai do ith y dair otchetchar okear okeeo lal kch g okar ar dar,,,,,,,,,,
12,f70r2,"f70r2.17,+Cc",C,circular text,okol,exact,ok,ol,middle,oteeo,chotal,oches air chese ctheey sheeody shopcho yteody ykaldy oteeos aiin sh e y shee farar aim cheoteeodal sho choetchaldy dal aiir ches otesar dalol chtam opaiir chokeo oteedy oteeo okol chotal otol al dl,,,,,,,,,,
12,f70r2,"f70r2.17,+Cc",C,circular text,otol,exact,ot,ol,middle,chotal,al,oches air chese ctheey sheeody shopcho yteody ykaldy oteeos aiin sh e y shee farar aim cheoteeodal sho choetchaldy dal aiir ches otesar dalol chtam opaiir chokeo oteedy oteeo okol chotal otol al dl,,,,,,,,,,
12,f70v1,"f70v1.1,@Cc",C,circular text,otor,exact,ot,or,middle,raiin,ochy,dalalody oteoshey okoksheo shokey raiin otor ochy s a ir is cheody cheey oteo ch ee y daiir chcthy dlal oteodaiin ykeody oteody sheo daiin oteedy chetalchs zar shoteeody okeeo dal cheody okchoteees oteeody cheokeo otaiin shes to ar oly daly sheal,,,,,,,,,,
12,f71r,"f71r.1,@Cc",C,circular text,otol,exact,ot,ol,middle,oto,oteeyar,olkeeody okody okeeedy oky chy okeodar okeoky oteody oto otol oteeyar yko oar aiin oekeeey okeo keo keody okeodar chy s aiin otokeoar or ar al otol al shckhy oteeeodar oteody otol aiin shoekey solalald cheeokeeo ch oe k t y choly,,,,,,,,,,
12,f71r,"f71r.18,@Cc",C,circular text,otal,exact,ot,al,middle,oteeol,chs,oteeol otal chs char cheky chotshy okeeody oteey chekea okeol,,,,,,,,,,
12,f71v,"f71v.12,@Cc",C,circular text,okol,exact,ok,ol,middle,otaly,sheeor,chal oteeos al sheky okalar ar okeo dar oty oto kaiin chey tal otchr chtos cheor shepchol otor sheo shopcho ar aly okeo cheey otal al shldy otaly okol sheeor,,,,,,,,,,
12,f71v,"f71v.12,@Cc",C,circular text,otal,exact,ot,al,middle,cheey,al,chal oteeos al sheky okalar ar okeo dar oty oto kaiin chey tal otchr chtos cheor shepchol otor sheo shopcho ar aly okeo cheey otal al shldy otaly okol sheeor,,,,,,,,,,
12,f71v,"f71v.12,@Cc",C,circular text,otor,exact,ot,or,middle,shepchol,sheo,chal oteeos al sheky okalar ar okeo dar oty oto kaiin chey tal otchr chtos cheor shepchol otor sheo shopcho ar aly okeo cheey otal al shldy otaly okol sheeor,,,,,,,,,,
12,f71v,"f71v.18,@Cc",C,circular text,okal,exact,ok,al,middle,chkeeal,cheekaiin,okeey okeosar otaiin chkeeal okal cheekaiin okaiin okchor dar oteey kal,,,,,,,,,,
12,f72r2,"f72r2.22,@Cc",C,circular text,okal,exact,ok,al,middle,eteeey,shey,oteey tey teodal chokaly ol cheol ol aiin oteo daiin shokal otey otaiin otaly dal okaly dalchdy ch eteeey okal shey qoteeody sheycthy chotal chas otoees aiin,,,,,,,,,,
