score,folio,locus,locus_kind,visual_context_from_locus,token,target_status,prefix,suffix,line_position,previous_token,next_token,line_tokens,image_checked,image_file_or_url,ink_color,visual_zone,ring,sector,radius,object_nearby,visual_notes,annotation_confidence
13,f70r1,"f70r1.2,@Cc",C,circular text,ar,standalone,,ar,middle,sheal,ykeody,oteody choekeeos alair dy okol okeey dasy ot a o rsheod okchody oteos okes okeys e i y okchol sairody o chopcheopchy chol air shekchy choteody oteeshs opcheody otol choky chody chotey sheal ar ykeody oteey chedaiin chotar soly,,,,,,,,,,
13,f70r1,"f70r1.3,+Cc",C,circular text,ar,standalone,,ar,middle,oteos,os,okeodar chy oteody tochady okchody ytar ytory okeol choly yk y okchedy chkal ofchon qokal opolaiin okeos oty dal cheokeey dal cheo al oteeoky chety chodalar okal chear aly oteos ar os al okolair dy,,,,,,,,,,
13,f70r2,"f70r2.15,@Cc",C,circular text,ar,standalone,,ar,middle,okeear,alekeey,sal air am shedy chokal cho ikh y shokeey choky chol dy okeeal o teedy dgr dair aiin okees okeear ar alekeey ar kam oteoodalry chekeoar chokey dar dcheoky otai do ith y dair otchetchar okear okeeo lal kch g okar ar dar,,,,,,,,,,
13,f70r2,"f70r2.16,+Cc",C,circular text,ar,standalone,,ar,middle,otar,chedal,otar ar chedal oaral aldaiin ykeeedaiis sheo l dar chol ykees aiir dl cheey s r keeod oteeodar aiin aral daiir sheedal sheodaiin choar chol chot e i oly cho oteey chotey choeky chedy choteosam oteodar o ckhh,,,,,,,,,,
13,f70r2,"f70r2.18,+Cc",C,circular text,ar,standalone,,ar,middle,otoy,arodchedy,otoy ar arodchedy cheocphey oteeos ees cheal sheeey okeedaly cheeoekey yk ee ei d cr ar oteey s al s air oteody oteody dar aiir ody cheeos chey daiin otoeeseor air chedy okodar al sho chotol dal dy,,,,,,,,,,
13,f70v1,"f70v1.1,@Cc",C,circular text,ar,standalone,,ar,middle,to,oly,dalalody oteoshey okoksheo shokey raiin otor ochy s a ir is cheody cheey oteo ch ee y daiir chcthy dlal oteodaiin ykeody oteody sheo daiin oteedy chetalchs zar shoteeody okeeo dal cheody okchoteees oteeody cheokeo otaiin shes to ar oly daly sheal,,,,,,,,,,
13,f70v2,"f70v2.1,@Cc",C,circular text,al,standalone,,al,middle,oteeoal,sheeos,okcheo dar otey ykeey tchy otsheo oteotey she y o shecth opcheoldair dateey sal ody choteey choeteedy oteoteotsho yteos alain sheodaly c 162 h o aiin cholkal chokear oteody cholaiin oteeoal al sheeos okey chol dy otees cho s ola r n otoaiin oteeody sos todaiin chokain otalal oteeam,,,,,,,,,,
13,f70v2,"f70v2.1,@Cc",C,circular text,dar,exact,d,ar,middle,okcheo,otey,okcheo dar otey ykeey tchy otsheo oteotey she y o shecth opcheoldair dateey sal ody choteey choeteedy oteoteotsho yteos alain sheodaly c 162 h o aiin cholkal chokear oteody cholaiin oteeoal al sheeos okey chol dy otees cho s ola r n otoaiin oteeody sos todaiin chokain otalal oteeam,,,,,,,,,,
13,f70v2,"f70v2.32,@Cc",C,circular text,al,standalone,,al,middle,ar,otaiin,otal daly oteoal dal aildy otaiin ar oteey shal o qoteeal ar al otaiin al teodaiin oteeo cthey oteeos oteos aiin daim,,,,,,,,,,
13,f71r,"f71r.1,@Cc",C,circular text,ar,standalone,,ar,middle,or,al,olkeeody okody okeeedy oky chy okeodar okeoky oteody oto otol oteeyar yko oar aiin oekeeey okeo keo keody okeodar chy s aiin otokeoar or ar al otol al shckhy oteeeodar oteody otol aiin shoekey solalald cheeokeeo ch oe k t y choly,,,,,,,,,,
13,f71v,"f71v.1,@Cc",C,circular text,ar,standalone,,ar,middle,cp,al,osheo parar oteeodaiin she ateey daiin oteokeey dal al oteey teey dy otchy keey sheeo ochey chey otcheodal sheealody cheol otar okam oteodar chpchy cp ar al aiin oteoshar okeodaly oteey teeey oteey keor or arol cheols okaikaly,,,,,,,,,,
13,f71v,"f71v.12,@Cc",C,circular text,ar,standalone,,ar,middle,okalar,okeo,chal oteeos al sheky okalar ar okeo dar oty oto kaiin chey tal otchr chtos cheor shepchol otor sheo shopcho ar aly okeo cheey otal al shldy otaly okol sheeor,,,,,,,,,,
13,f72r1,"f72r1.1,@Cc",C,circular text,ar,standalone,,ar,middle,otos,aiin,oteeo cthey chlol cheol olcheor al oteey chedal oteedy okeodaly chol chokeol cheo ky okaiir okeedy sheoltey cheor aiin ydal okochey sho okalshey shol chalaiin chekeol kol otos ar aiin otam otam chotam sal okeo dar ar a d j al dar okeeas aiin oteey okaiin,,,,,,,,,,
13,f72r1,"f72r1.12,@Cc",C,circular text,ar,standalone,,ar,middle,otear,cheky,oteodar ytey otey shetey chokshor okalal otaiin sheolaiin otaiin chetey cheolor oteo teeody otar chokaiin okaiin al alo cheedy otear ar cheky chokal otar al o qokar,,,,,,,,,,
13,f72r2,"f72r2.32,@Cc",C,circular text,ar,standalone,,ar,middle,chchs,aly,otoar air aloy oka iin ii otees chs chchs ar aly taly dar otchey okaiin olaiin 211 y,,,,,,,,,,
13,f72r3,"f72r3.1,@Cc",C,circular text,ar,standalone,,ar,middle,chocthar,oteody,okeey chekoy oteo ykeey chedaiin okeeol cheeor chocthar ar oteody oteedy okeolaiin oteey okarar teo sheol al alaiiin okeos alaiin okor o keodar okee s ar aiin chekackhy chokees oteedy chekar okar choly ches os oiin okeeey cheey ches okeody chealdy shocthy choteey sheoly oh eol sheey chorain,,,,,,,,,,
13,f72r3,"f72r3.26,@Cc",C,circular text,ar,standalone,,ar,middle,oteees,am,oteey a rary eee r s che 212 shees opcholalaiin oteeor am sheal o k t aipchy oteees ar am olaiin otedar olol choty oteol sheshdy chedy chedy dy shes eedy sheol shy ckhol,,,,,,,,,,
13,f72v1,"f72v1.1,@Cc",C,circular text,ar,standalone,,ar,middle,s,otedy,oteos alar otar air chpaly oteody okchesal otear alshey oleealy sh tey oteos alal dals alchol ytolaiin ydaiin chotar y tal oto shoty otey okchedaly chdar y s ar otedy otorar shedy opsheytey opairaly choshydy otar cheedy otaraiin cheeky okolar ychey otechety,,,,,,,,,,
13,f72v1,"f72v1.22,@Cc",C,circular text,ar,standalone,,ar,middle,otar,otol,otar ar otol topar oteolaiin ofa r s al otshedy ofalar alshdy chpar aiin okaly oka yaly opcheolfy opar cheo ck ey otolopaiin shaldy chepchy otey tea n r,,,,,,,,,,
13,f72v2,"f72v2.1,@Cc",C,circular text,ar,standalone,,ar,middle,cheockhy,k,otos chs oty oteos oty chotey dchy chopchy otychal ctheo l shey tchol s choraiin cheka iph y oteeos aly okeedy cheockhy ar k aly che okedl okedy sheos okeeor cheey okeey teey cheeey okeolol sheeoeky oekeeo r aiin olalka in ir okolsaiin,,,,,,,,,,
13,f72v2,"f72v2.33,@Cc",C,circular text,ar,standalone,,ar,middle,al,chetolain,otaiin otshedy chokeedy otes al al ar chetolain sheodaly sheokey okealy rary,,,,,,,,,,
13,f72v3,"f72v3.33,@Cc",C,circular text,ar,standalone,,ar,middle,r,chkeeol,okesee s r ar chkeeol okeolaiin chalal ykeeodarar oleeody shedy solar aldy oteor cheor,,,,,,,,,,
13,f73r,"f73r.5,@Cc",C,circular text,ar,standalone,,ar,middle,air,oteosdal,ypolcheey salchedal chepchey daraly oteos air ar oteosdal chot oe ee y soteees alshey oh ch es al chees che o a ly jeiii choteey cheteey cheteeeos aiin chetchody chedar ar cheteey ote co s ar airalor shetee yteey cheody ykeydam oteos alar alcheky,,,,,,,,,,
13,f73v,"f73v.22,@Cc",C,circular text,ar,standalone,,ar,middle,saly,daly,oteoto s r alshy oteolain chokeedam otody qoty shedy chdy tchol oteody cheytey choty o k t ey dy okecholy otey chodaiin chey okeedy saly ar daly,,,,,,,,,,
13,f85r2,"f85r2.1,@Cc",C,circular text,ar,standalone,,ar,middle,opaees,chcthy,odeedy otedy opaees ar chcthy otchdy otody otar chepaiin otodar otodaiin opaiin otaiin qopchas otchedy olkaiin odar aloees otchedy qotedaiin odar octhody shedaiin olaiin olfor daiin ol lkech ch os aiin oteedy dar otees opaiin chcphdar,,,,,,,,,,
13,f85r2,"f85r2.24,@Cc",C,circular text,ar,standalone,,ar,middle,oteedo,or,okees ochar oted o a r ochedy otody olchedy oteedo ar or airol otees ar aram,,,,,,,,,,
13,f86v4,"f86v4.1,@Cc",C,circular text,ar,standalone,,ar,middle,pch,odsheo,opos os sheody pch ar odsheo qody cheepchdy lpchedy olkar shdar dchdor qopcher ches os eeedar odaiin pcheodar chdair orarorchy shar opchsey otedy ch cphh y chedy sarshed odar sheey scheor al cheefar shetchy qoteol otor shar qoteshy do ofor arar dl,,,,,,,,,,
13,f86v4,"f86v4.2,@Cc",C,circular text,ar,standalone,,ar,middle,o,yteeody,oeeey o y daiin otedaiin otedy oteey chedaiin octhedy chy shedaiin chotaiin oraiin otodeee o ar yteeody oteedaraiin shedaiin chdar shedy qotedaiin chedy tchdy chetdy chedy qotar chedy chckhy daiin otedy seeedy yteey sam,,,,,,,,,,
13,f86v4,"f86v4.3,@Cc",C,circular text,ar,standalone,,ar,middle,dchdes,sheody,tchey dair alody shes qeeor or odarchdy chdy orcheos o s r ain or otee d chedees oteedy qoty otedy shedy otedy dar shd shy y schdy chdeedy dodar oiin or oiin sar orchedy qotchdy dchdes ar sheody opcho fcheom,,,,,,,,,,
13,f86v4,"f86v4.4,@Cc",C,circular text,ar,standalone,,ar,middle,pchedar,o,pchedar ar o cp or otees oes a iir iin olkeor dar ain desy doeedey opchedy shedaiin dar otedy dain otey dam otedy daiin chocthy dtedair chody sheos otedos qokechy pchdeedy dan ol dol oty sho pol otoldyl,,,,,,,,,,
13,fRos,"fRos.122,@Cc",C,circular text,ar,standalone,,ar,middle,s,olkchedy,okedar okody okair ched y o opar ol keeedy s ar olkchedy otedaiin olky or aiin ody osain xdar odaiin okedal ol ar oekaiin al o saldan oteedy otchdaiin otedy o t k ar aiin yky odaiin okal okalar,,,,,,,,,,
13,fRos,"fRos.133,@Cc",C,circular text,ar,standalone,,ar,middle,ok,ar,ok ar ar okary otodeed odar chekaiin oees oiin okees oiir odaiin okalol aiiin okal ol otar chchdam chetey otodches oteesey chckhy otody otal chedal opal olkar okedaiin oror,,,,,,,,,,
13,fRos,"fRos.2,@Cc",C,circular text,ar,standalone,,ar,middle,ochs,ol,oto tosaes adar otar otes okaiin dal al chdar otdar chefchs okor ol om olkeeodaiin shol okal orshees qoeey okalol otodr ochs ar ol oqokam oteed oteedy okedy lraiin or aiin okor okeedy,,,,,,,,,,
13,fRos,"fRos.20,@Cc",C,circular text,ar,standalone,,ar,middle,r,or,sais od r ar or okal okal or alal ykal ol ar ol al ol al lor okan okod oked okeo ldy opashs otedy chedchs sheekedy odal shd olkeedy yky kaiir okchdy otol ar yaiin aiir oeal okchdy olyokain olkaiin ody,,,,,,,,,,
13,fRos,"fRos.62,@Cc",C,circular text,ar,standalone,,ar,middle,otes,yqos,otor os om araiin okeody okar odsheedy odaiin okchdy okar shor okaiin daiin ofair oly olkair odal olkalor olors y o d esha x k r olar oteedaiin otes ar yqos aiiin ol qotody ol oir or oroa oteeedy okal okodar otshe okody otedy chdar o,,,,,,,,,,
